stock_name,acc_test,acc_eval,expected_value,buy_percent,pred_sell,pred_hold,pred_buy
088980,맥쿼리인프라 ,0.62,0.5176,0.9845,0.05,0.0,1.0,0.0
035420,NAVER ,0.6227,0.2516,3.7725,0.185,0.0,1.0,0.0
036540,SFA반도체 ,0.6299,0.5294,4.2216,0.13,0.0,1.0,0.0
043150,바텍 ,0.6101,0.4659,4.3189,0.02,0.0,1.0,0.0
004020,현대제철 ,0.5773,0.2821,3.4483,0.11,0.0,0.0,1.0
035900,JYP Ent. ,0.6419,0.2936,4.6296,0.075,0.0,0.0,1.0
004990,롯데지주 ,0.5991,0.3676,2.5271,0.205,0.0,1.0,0.0
022100,포스코 ICT ,0.5997,0.5542,3.1987,0.06,1.0,0.0,0.0
090430,아모레퍼시픽 ,0.588,0.4273,3.3487,0.115,0.0,0.0,1.0
095610,테스 ,0.6037,0.4737,4.9938,0.12,0.0,1.0,0.0
006400,삼성SDI ,0.6182,0.6528,3.3784,0.02,0.0,0.0,1.0
180640,한진칼 ,0.6053,0.3263,4.3831,0.02,0.0,1.0,0.0
035760,CJ ENM ,0.5994,0.5304,3.4722,0.145,0.0,0.0,1.0
036570,엔씨소프트 ,0.6045,0.3026,4.2202,0.025,1.0,0.0,0.0
196170,알테오젠 ,0.5476,0.3889,5.9006,0.095,0.0,1.0,0.0
145020,휴젤 ,0.681,0.3673,4.4077,0.005,0.0,0.0,1.0
139480,이마트 ,0.5735,0.2874,2.7484,0.03,0.0,0.0,1.0
032500,케이엠더블유 ,0.607,0.2667,5.3648,0.0,0.0,1.0,0.0
086790,하나금융지주 ,0.6046,0.4808,3.2012,0.02,0.0,1.0,0.0
000210,대림산업 ,0.6152,0.4815,4.0,0.0,0.0,1.0,0.0
218410,RFHIC ,0.5325,0.3106,4.0201,0.03,0.0,1.0,0.0
060250,NHN한국사이버결제 ,0.59,0.4054,4.4084,0.045,0.0,0.0,1.0
036460,한국가스공사 ,0.6152,0.4308,2.8409,0.11,0.0,1.0,0.0
018260,삼성에스디에스 ,0.5465,0.2,2.7778,0.155,0.0,1.0,0.0
097520,엠씨넥스 ,0.5915,0.3455,4.8611,0.075,0.0,1.0,0.0
060720,KH바텍 ,0.5865,0.3295,5.0439,0.06,0.0,1.0,0.0
064520,바른전자 ,0.5914,0.3445,4.4643,0.1,0.0186,0.8375,0.1439
098460,고영 ,0.6016,0.4524,3.8585,0.075,1.0,0.0,0.0
140410,메지온 ,0.5863,0.32,4.7535,0.04,0.0,1.0,0.0
086280,현대글로비스 ,0.5866,0.5169,3.4884,0.025,0.0,1.0,0.0
068270,셀트리온 ,0.6204,0.4245,3.9548,0.065,0.0,1.0,0.0
086520,에코프로 ,0.5951,0.3924,4.9113,0.115,1.0,0.0,0.0
078340,컴투스 ,0.6269,0.4231,4.9793,0.02,0.0,0.0,1.0
002380,KCC ,0.6444,0.3817,3.2609,0.095,1.0,0.0,0.0
030000,제일기획 ,0.5784,0.4286,3.154,0.04,0.0,0.0,1.0
033290,코웰패션 ,0.6117,0.4681,4.1818,0.02,1.0,0.0,0.0
010130,고려아연 ,0.6409,0.4848,3.7946,0.0,1.0,0.0,0.0
030200,KT ,0.6152,0.3089,1.8421,0.035,1.0,0.0,0.0
039200,오스코텍 ,0.5804,0.3717,4.9645,0.16,0.0,1.0,0.0
066570,LG전자 ,0.6394,0.4224,3.2211,0.03,0.0,1.0,0.0
048260,오스템임플란트 ,0.5967,0.527,4.2151,0.065,0.0,1.0,0.0
035600,KG이니시스 ,0.5952,0.4455,4.7619,0.055,1.0,0.0,0.0
122870,와이지엔터테인먼트 ,0.5538,0.4943,3.7543,0.115,0.0,0.0,1.0
041960,코미팜 ,0.6114,0.3977,4.428,0.045,0.0,1.0,0.0
108320,실리콘웍스 ,0.6276,0.431,3.8724,0.135,1.0,0.0,0.0
161390,한국타이어앤테크놀로지 ,0.5978,0.2113,2.707,0.2,1.0,0.0,0.0
102110,TIGER 200 ,0.6393,0.2845,1.5479,0.005,0.0,0.0,1.0
086900,메디톡스 ,0.6196,0.4261,4.7259,0.09,0.0,0.0,1.0
047050,포스코인터내셔널 ,0.6167,0.4928,3.6101,0.02,1.0,0.0,0.0
091700,파트론 ,0.6436,0.598,4.4177,0.095,0.0,1.0,0.0
024110,기업은행 ,0.5894,0.5372,2.834,0.015,0.0,1.0,0.0
025980,아난티 ,0.616,0.3636,4.7753,0.13,0.0,0.0,1.0
081660,휠라코리아 ,0.5973,0.4173,3.1933,0.26,1.0,0.0,0.0
214370,케어젠 ,0.575,0.3333,3.25,0.245,0.9658,0.0333,0.0008
000720,현대건설 ,0.6152,0.4094,3.871,0.17,0.0,0.0,1.0
003490,대한항공 ,0.5917,0.3758,3.4783,0.175,1.0,0.0,0.0
031390,녹십자셀 ,0.6433,0.605,5.1181,0.015,0.0,1.0,0.0
003410,쌍용양회 ,0.6121,0.4032,4.0625,0.025,1.0,0.0,0.0
058820,CMG제약 ,0.6153,0.5481,5.4502,0.005,1.0,0.0,0.0
066970,엘앤에프 ,0.6294,0.4872,4.7409,0.12,1.0,0.0,0.0
178920,SKC코오롱PI ,0.5833,0.4252,4.5365,0.135,1.0,0.0,0.0
214150,클래시스 ,0.7131,0.3061,2.5,0.035,0.0,0.0,1.0
005940,NH투자증권 ,0.5909,0.5122,3.4934,0.0,0.0,0.0,1.0
032640,LG유플러스 ,0.6277,0.5301,3.1429,0.05,1.0,0.0,0.0
128940,한미약품 ,0.599,0.4592,3.871,0.01,0.0,1.0,0.0
010950,S-Oil ,0.6061,0.437,2.8017,0.07,1.0,0.0,0.0
028260,삼성물산 ,0.5893,0.2302,2.6432,0.13,0.0,1.0,0.0
010140,삼성중공업 ,0.6015,0.4375,3.9604,0.045,0.0,1.0,0.0
017670,SK텔레콤 ,0.5818,0.354,2.2857,0.02,0.0,1.0,0.0
006800,미래에셋대우 ,0.5788,0.4455,3.6855,0.01,0.0,0.0,1.0
001040,CJ ,0.6137,0.4519,3.303,0.025,0.0,1.0,0.0
090460,비에이치 ,0.6036,0.5089,4.9793,0.215,1.0,0.0,0.0
215200,메가스터디교육 ,0.637,0.4696,2.4772,0.23,0.0,0.0,1.0
005935,삼성전자우 ,0.6019,0.3167,2.9517,0.005,0.0,1.0,0.0
030190,NICE평가정보 ,0.6698,0.4771,2.8192,0.18,1.0,0.0,0.0
036830,솔브레인 ,0.6079,0.3415,4.3315,0.0,0.0,0.0,1.0
039840,디오 ,0.5895,0.3571,4.0659,0.04,0.0,1.0,0.0
041510,에스엠 ,0.6167,0.5636,4.7436,0.03,0.0,0.0,1.0
002790,아모레G ,0.6133,0.2797,3.8462,0.15,0.0,0.0,1.0
033640,네패스 ,0.5741,0.4815,4.8387,0.025,0.0,1.0,0.0
000250,삼천당제약 ,0.6292,0.3967,3.9593,0.21,1.0,0.0,0.0
044340,위닉스 ,0.5928,0.5682,4.4041,0.045,0.0,1.0,0.0
055550,신한지주 ,0.5894,0.4609,2.6932,0.06,1.0,0.0,0.0
097950,CJ제일제당 ,0.6107,0.4804,2.8609,0.075,0.0,0.0,1.0
069500,KODEX 200 ,0.6379,0.3621,1.6731,0.0,0.0,1.0,0.0
008770,호텔신라 ,0.6439,0.4625,4.0943,0.045,0.0,0.0,1.0
005490,POSCO ,0.6288,0.4396,3.0075,0.07,0.0,1.0,0.0
023530,롯데쇼핑 ,0.5743,0.2552,2.8716,0.235,0.0,0.0,1.0
122630,KODEX 레버리지 ,0.6188,0.5385,2.7342,0.155,0.0,0.0,1.0
029780,삼성카드 ,0.5802,0.4132,2.5788,0.015,0.0,1.0,0.0
035720,카카오 ,0.6283,0.3679,3.6269,0.02,0.0,1.0,0.0
078130,국일제지 ,0.5763,0.4359,3.6066,0.025,0.0,1.0,0.0
005930,삼성전자 ,0.6131,0.4404,2.944,0.175,0.0,1.0,0.0
035250,강원랜드 ,0.5864,0.4227,2.8986,0.035,0.0,1.0,0.0
112040,위메이드 ,0.6029,0.4259,4.3597,0.105,0.0,0.0,1.0
034730,SK ,0.6167,0.4035,3.1136,0.065,1.0,0.0,0.0
