stock_name,acc_test,acc_eval,expected_value,buy_percent,pred_sell,pred_hold,pred_buy
010620,현대미포조선 ,0.6099,0.2,4.386,0.0167,0.2175,0.4036,0.379
138040,메리츠금융지주 ,0.5825,0.2273,2.5362,0.0833,0.2548,0.7254,0.0198
079160,CJ CGV ,0.6058,0.2,3.3835,0.0333,0.3612,0.4404,0.1984
000640,동아쏘시오홀딩스 ,0.5994,0.0,3.3639,0.0,0.1055,0.6855,0.209
068240,다원시스 ,0.6081,0.4615,4.1353,0.1,0.0364,0.2268,0.7368
013120,동원개발 ,0.6836,0.0,2.7273,0.0,0.1263,0.3212,0.5525
011170,롯데케미칼 ,0.6415,0.125,4.3841,0.0333,0.1262,0.8527,0.0212
101490,에스앤에스텍 ,0.6318,0.3,4.1667,0.1,0.4263,0.37,0.2038
067160,아프리카TV ,0.5898,0.0,5.0926,0.0,0.0954,0.3477,0.5568
005830,DB손해보험 ,0.5948,0.2222,3.5714,0.0333,0.1486,0.1719,0.6795
028150,GS홈쇼핑 ,0.6433,0.0,3.1596,0.0,0.2101,0.4001,0.3897
131970,테스나 ,0.6164,0.1765,4.9724,0.05,0.4271,0.5257,0.0472
001680,대상 ,0.6312,0.0,3.7168,0.0,0.4099,0.4725,0.1176
028670,팬오션 ,0.625,0.1613,4.2308,0.0833,0.3681,0.2901,0.3418
001800,오리온홀딩스 ,0.6245,0.0,3.8074,0.0,0.0998,0.756,0.1441
052690,한전기술 ,0.5992,0.1522,3.6145,0.1167,0.4408,0.1058,0.4534
084110,휴온스글로벌 ,0.6388,0.6667,4.0872,0.0333,0.2076,0.2579,0.5345
067630,에이치엘비생명과학 ,0.6199,0.6667,5.0157,0.0667,0.1695,0.3165,0.514
064760,티씨케이 ,0.5962,0.5714,4.955,0.0667,0.0243,0.8379,0.1378
100120,뷰웍스 ,0.6027,0.5,4.1841,0.0167,0.3879,0.2437,0.3683
071050,한국금융지주 ,0.6016,0.0,3.949,0.0,0.2273,0.5938,0.1789
069080,웹젠 ,0.5994,0.1429,4.5833,0.0167,0.7175,0.2172,0.0653
086450,동국제약 ,0.6102,0.5,2.9654,0.0167,0.6276,0.2455,0.1269
078930,GS ,0.6332,0.0,3.0303,0.0,0.2304,0.5012,0.2684
095700,제넥신 ,0.6331,0.2222,4.6272,0.0333,0.6416,0.1567,0.2018
071840,롯데하이마트 ,0.5619,0.4118,2.6866,0.1167,0.0618,0.1067,0.8314
000810,삼성화재 ,0.5893,0.6667,2.834,0.0667,0.6304,0.2104,0.1592
012750,에스원 ,0.5989,0.0,2.8037,0.0,0.6075,0.2519,0.1406
023900,풍국주정 ,0.6252,0.2979,2.1186,0.2333,0.0174,0.0297,0.953
047810,한국항공우주 ,0.6169,0.0588,3.2143,0.0167,0.0627,0.2047,0.7326
089980,상아프론테크 ,0.6064,0.2105,3.8636,0.0667,0.2351,0.1171,0.6478
