stock_name,acc_test,acc_eval,expected_value,buy_percent,pred_sell,pred_hold,pred_buy
011170,롯데케미칼 ,0.6305,0.6667,4.3841,0.05,0.5458,0.4412,0.013
067160,아프리카TV ,0.638,0.4138,5.0926,0.0,0.1723,0.5129,0.3149
005830,DB손해보험 ,0.6566,0.3667,3.5714,0.0833,0.2003,0.1148,0.6849
028150,GS홈쇼핑 ,0.6074,0.5714,3.1596,0.0,0.082,0.903,0.015
028670,팬오션 ,0.575,0.3636,4.2308,0.1,0.1783,0.3345,0.4872
067630,에이치엘비생명과학 ,0.6311,0.3548,5.0157,0.0333,0.6186,0.1456,0.2357
064760,티씨케이 ,0.5977,0.5185,4.955,0.0833,0.0444,0.5374,0.4182
071050,한국금융지주 ,0.6113,0.4688,3.949,0.0,0.4134,0.4926,0.0941
069080,웹젠 ,0.5801,0.52,4.5833,0.0167,0.3185,0.1403,0.5412
086450,동국제약 ,0.6069,0.4286,2.9654,0.0333,0.3584,0.6025,0.0391
078930,GS ,0.6484,0.5417,3.0303,0.0,0.0312,0.9007,0.0681
095700,제넥신 ,0.5988,0.3529,4.6272,0.0167,0.3068,0.6545,0.0387
000810,삼성화재 ,0.6113,0.64,2.834,0.0667,0.0516,0.8054,0.143
012750,에스원 ,0.6154,0.5926,2.8037,0.0,0.4471,0.2127,0.3403
047810,한국항공우주 ,0.607,0.3409,3.2143,0.0167,0.3954,0.1435,0.461
004170,신세계 ,0.6309,0.3438,3.211,0.0333,0.7462,0.2484,0.0054
053800,안랩 ,0.6243,0.5,3.5336,0.0667,0.3863,0.4655,0.1482
005387,현대차2우B ,0.6035,0.5,3.3375,0.0,0.4366,0.4721,0.0913
105560,KB금융 ,0.6324,0.3939,2.7875,0.0333,0.6774,0.317,0.0055
000270,기아차 ,0.5742,0.5106,3.3083,0.0,0.4397,0.5598,0.0005
006360,GS건설 ,0.6291,0.5476,4.3663,0.0,0.2313,0.6632,0.1055
018880,한온시스템 ,0.5884,0.5263,3.9216,0.0167,0.8111,0.1561,0.0328
005380,현대차 ,0.5701,0.4595,3.1863,0.0167,0.4193,0.2935,0.2873
000660,SK하이닉스 ,0.5907,0.3462,4.2796,0.0167,0.662,0.246,0.092
000100,유한양행 ,0.5962,0.44,2.8169,0.0333,0.602,0.3426,0.0554
021240,웅진코웨이 ,0.5714,0.6,3.4091,0.0333,0.1663,0.1814,0.6523
141080,레고켐바이오 ,0.5865,0.4615,5.5276,0.0,0.0744,0.5974,0.3282
028300,에이치엘비 ,0.589,0.5625,6.087,0.1167,0.2181,0.1825,0.5994
016360,삼성증권 ,0.5934,0.425,2.9364,0.0,0.8587,0.1003,0.041
042660,대우조선해양 ,0.5993,0.451,4.5,0.0,0.0227,0.9462,0.0311
058470,리노공업 ,0.6227,0.2727,3.1884,0.0167,0.2888,0.6759,0.0353
056190,에스에프에이 ,0.5923,0.4444,3.8667,0.05,0.1121,0.8785,0.0094
023890,한국아트라스비엑스 ,0.6182,0.3659,2.8902,0.0167,0.0205,0.9794,1e-04
084990,헬릭스미스 ,0.6132,0.2105,4.918,0.0667,0.5881,0.1903,0.2216
046890,서울반도체 ,0.6011,0.5429,4.3593,0.0167,0.2382,0.641,0.1208
078160,메디포스트 ,0.5896,0.3871,4.7323,0.0667,0.1201,0.6784,0.2015
011780,금호석유 ,0.6016,0.359,4.2975,0.0,0.9336,0.0623,0.0041
096770,SK이노베이션 ,0.5977,0.5862,3.4392,0.0,0.4407,0.4101,0.1492
012330,현대모비스 ,0.6264,0.475,3.2468,0.05,0.1998,0.7572,0.043
115450,지트리비앤티 ,0.6026,0.4242,4.908,0.1333,0.1538,0.6438,0.2024
011070,LG이노텍 ,0.6033,0.2903,4.127,0.05,0.733,0.2036,0.0634
007070,GS리테일 ,0.6316,0.7619,3.3048,0.0667,0.6858,0.226,0.0882
083790,크리스탈 ,0.5853,0.2188,4.6838,0.1,0.0976,0.7814,0.1211
039030,이오테크닉스 ,0.6368,0.5,4.6512,0.05,0.3763,0.5816,0.0421
032830,삼성생명 ,0.5927,0.4545,1.9507,0.0667,0.6266,0.1865,0.1869
006730,서부T&D ,0.5706,0.3333,3.211,0.0667,0.3571,0.1937,0.4492
