stock_name,acc_test,acc_eval,expected_value,buy_percent,pred_sell,pred_hold,pred_buy
036490,SK머티리얼즈 ,0.6148,0.0,4.0334,0.0,0.7281,0.1866,0.0853
000120,CJ대한통운 ,0.6418,0.6667,3.202,0.0667,0.1163,0.7211,0.1626
033780,KT&G ,0.6209,0.0,2.4447,0.0,0.2636,0.41,0.3264
092040,아미코젠 ,0.6149,0.3636,4.782,0.2667,0.4656,0.218,0.3164
038540,상상인 ,0.6206,0.2857,4.9711,0.0333,0.7777,0.1517,0.0706
088980,맥쿼리인프라 ,0.6153,0.0,0.9836,0.0,0.6415,0.2713,0.0872
035420,NAVER ,0.5875,0.5,3.7725,0.0833,0.5049,0.1836,0.3114
036540,SFA반도체 ,0.6048,0.5758,4.2216,0.3167,0.3156,0.0861,0.5983
043150,바텍 ,0.5806,0.0,4.3189,0.0,0.5564,0.347,0.0966
004020,현대제철 ,0.6181,0.2105,3.4411,0.1333,0.1331,0.0762,0.7907
035900,JYP Ent. ,0.6009,0.1818,4.6154,0.0333,0.0909,0.857,0.0521
004990,롯데지주 ,0.5919,0.5455,2.5253,0.1,0.3353,0.0662,0.5984
022100,포스코 ICT ,0.573,0.25,3.2091,0.0167,0.0113,0.0922,0.8965
090430,아모레퍼시픽 ,0.5997,0.6111,3.313,0.1833,0.2365,0.4123,0.3512
095610,테스 ,0.6179,0.2,4.9938,0.0167,0.8069,0.1039,0.0892
008560,메리츠종금증권 ,0.6047,0.25,3.4091,0.0833,0.0518,0.0946,0.8536
006400,삼성SDI ,0.6071,0.0,3.3742,0.0,0.7715,0.2153,0.0133
180640,한진칼 ,0.6182,0.5625,4.3831,0.15,0.6175,0.1059,0.2767
035760,CJ ENM ,0.6066,0.2308,3.4641,0.05,0.2219,0.6601,0.1181
036570,엔씨소프트 ,0.6538,0.0,4.2202,0.0,0.6212,0.3624,0.0165
196170,알테오젠 ,0.6186,0.2857,5.8997,0.0333,0.8626,0.0682,0.0692
145020,휴젤 ,0.6141,0.0,4.3947,0.0,0.7996,0.1737,0.0267
139480,이마트 ,0.5833,0.0,2.7397,0.0,0.1975,0.1386,0.6638
032500,케이엠더블유 ,0.6566,0.3448,5.3648,0.1667,0.0773,0.1264,0.7964
086790,하나금융지주 ,0.6309,0.1818,3.2012,0.0333,0.462,0.1668,0.3711
000210,대림산업 ,0.625,0.0,4.0,0.0,0.2231,0.6961,0.0808
218410,RFHIC ,0.6759,0.2391,4.0201,0.1833,0.0667,0.1605,0.7728
060250,NHN한국사이버결제 ,0.6261,0.0,4.4014,0.0,0.5742,0.3831,0.0427
036460,한국가스공사 ,0.6305,0.2,2.8409,0.0333,0.1125,0.6409,0.2466
018260,삼성에스디에스 ,0.6,0.0,2.7638,0.0,0.3617,0.4152,0.2231
097520,엠씨넥스 ,0.584,0.4167,4.8611,0.1667,0.4451,0.3676,0.1873
098460,고영 ,0.6232,0.0,3.8585,0.0,0.7952,0.0857,0.1191
140410,메지온 ,0.552,0.75,4.7535,0.05,0.6311,0.2248,0.1441
086280,현대글로비스 ,0.6038,0.0,3.4884,0.0,0.5863,0.2034,0.2103
068270,셀트리온 ,0.6215,0.2941,3.9548,0.0833,0.1164,0.7302,0.1534
086520,에코프로 ,0.6291,0.5,4.9315,0.0167,0.4994,0.243,0.2576
078340,컴투스 ,0.6192,0.2,4.9769,0.05,0.5994,0.1169,0.2837
002380,KCC ,0.6058,0.25,3.2609,0.0833,0.0252,0.0571,0.9177
030000,제일기획 ,0.5793,0.3333,3.1311,0.0333,0.1527,0.0664,0.7809
033290,코웰패션 ,0.6254,0.0,4.1818,0.0,0.9209,0.0651,0.014
010130,고려아연 ,0.6209,0.0,3.7946,0.0,0.3035,0.5839,0.1126
030200,KT ,0.603,0.0,1.8421,0.0,0.1749,0.4599,0.3651
039200,오스코텍 ,0.6146,0.3571,4.9751,0.0833,0.0551,0.8503,0.0946
066570,LG전자 ,0.6113,0.2105,3.2211,0.0667,0.3977,0.5154,0.0868
048260,오스템임플란트 ,0.599,0.2857,4.2151,0.0333,0.2256,0.2912,0.4832
035600,KG이니시스 ,0.6084,0.5,4.7619,0.0667,0.4931,0.2653,0.2416
122870,와이지엔터테인먼트 ,0.625,0.3913,3.7325,0.3,0.03,0.0376,0.9324
041960,코미팜 ,0.5934,0.5714,4.4444,0.0667,0.8116,0.0542,0.1342
108320,실리콘웍스 ,0.5783,0.4118,3.8793,0.1167,0.3783,0.5863,0.0354
161390,한국타이어앤테크놀로지 ,0.5727,0.2308,2.707,0.15,0.5453,0.2157,0.239
102110,TIGER 200 ,0.6032,0.0,1.5479,0.0,0.3465,0.1981,0.4554
086900,메디톡스 ,0.5777,0.2759,4.7228,0.1333,0.1499,0.0842,0.7658
047050,포스코인터내셔널 ,0.6346,0.2222,3.6101,0.0333,0.2405,0.3789,0.3805
091700,파트론 ,0.6171,0.6,4.4177,0.05,0.124,0.7359,0.1401
024110,기업은행 ,0.6113,0.25,2.834,0.0333,0.1429,0.0637,0.7935
025980,아난티 ,0.5916,0.0,4.7619,0.0,0.142,0.6394,0.2186
081660,휠라코리아 ,0.6298,0.2308,3.1933,0.1,0.0883,0.0252,0.8865
214370,케어젠 ,0.5556,0.0,3.25,0.0,0.0273,0.9687,0.004
000720,현대건설 ,0.6113,0.3636,3.8591,0.1333,0.1354,0.1372,0.7274
003490,대한항공 ,0.6075,0.3469,3.4853,0.2833,0.5892,0.0691,0.3417
031390,녹십자셀 ,0.6437,0.5,5.1059,0.0167,0.3801,0.1978,0.4222
003410,쌍용양회 ,0.5846,0.0,4.065,0.0,0.3656,0.369,0.2655
058820,CMG제약 ,0.5991,0.0,5.4545,0.0,0.1225,0.7382,0.1393
066970,엘앤에프 ,0.6081,0.6667,4.7619,0.1667,0.542,0.0941,0.3639
178920,SKC코오롱PI ,0.6059,0.1429,4.5365,0.0167,0.1518,0.7671,0.0811
214150,클래시스 ,0.7105,0.5714,2.5,0.2,0.0957,0.3335,0.5708
005940,NH투자증권 ,0.6236,0.0,3.4921,0.0,0.3087,0.2461,0.4452
032640,LG유플러스 ,0.6212,0.0,3.1532,0.0,0.0775,0.8884,0.0341
128940,한미약품 ,0.6261,0.5714,3.8505,0.0667,0.8647,0.1003,0.035
010950,S-Oil ,0.6113,0.0,2.8017,0.0,0.8808,0.0217,0.0974
028260,삼성물산 ,0.5508,0.0,2.6144,0.0,0.7465,0.1768,0.0767
010140,삼성중공업 ,0.6058,0.1538,3.9583,0.0333,0.2479,0.3024,0.4497
017670,SK텔레콤 ,0.6236,0.1,2.2857,0.0167,0.0692,0.8392,0.0916
006800,미래에셋대우 ,0.6154,0.0,3.663,0.0,0.0953,0.6506,0.2541
001040,CJ ,0.5789,0.4,3.3088,0.0333,0.2895,0.3363,0.3741
090460,비에이치 ,0.5621,0.5455,4.9808,0.1,0.2129,0.694,0.093
215200,메가스터디교육 ,0.6542,0.55,2.4211,0.1833,0.7103,0.2149,0.0748
005935,삼성전자우 ,0.5702,0.0,2.9517,0.0,0.207,0.7077,0.0853
030190,NICE평가정보 ,0.6278,0.4737,2.8192,0.15,0.1491,0.0817,0.7692
036830,솔브레인 ,0.6216,0.5,4.321,0.0167,0.604,0.2475,0.1485
039840,디오 ,0.6263,0.0,4.0659,0.0,0.5612,0.3993,0.0396
041510,에스엠 ,0.6068,0.5,4.7337,0.0333,0.4557,0.2498,0.2945
002790,아모레G ,0.6248,0.3913,3.8238,0.15,0.8558,0.1135,0.0307
151910,나노스 ,0.6388,0.2353,4.2724,0.1333,0.0664,0.0784,0.8552
033640,네패스 ,0.613,0.2,4.8387,0.0167,0.3293,0.162,0.5087
000250,삼천당제약 ,0.6146,0.3929,3.9604,0.1833,0.2208,0.1844,0.5949
044340,위닉스 ,0.6384,0.4444,4.3956,0.0667,0.1985,0.5189,0.2826
055550,신한지주 ,0.5673,0.0,2.6932,0.0,0.5818,0.2122,0.2059
097950,CJ제일제당 ,0.5811,0.625,2.8529,0.1667,0.1983,0.1265,0.6752
069500,KODEX 200 ,0.6236,0.0,1.6723,0.0,0.1564,0.6895,0.1542
008770,호텔신라 ,0.6135,0.5,4.0876,0.0167,0.1556,0.8121,0.0322
005490,POSCO ,0.5975,0.3333,3.0055,0.0167,0.1473,0.7555,0.0972
023530,롯데쇼핑 ,0.6072,0.4286,2.8634,0.2,0.3652,0.2998,0.335
029780,삼성카드 ,0.5944,0.2308,2.5799,0.05,0.7214,0.1404,0.1382
035720,카카오 ,0.63,0.0,3.6269,0.0,0.5652,0.4002,0.0346
078130,국일제지 ,0.6129,0.5,3.6036,0.1167,0.1369,0.4178,0.4453
005930,삼성전자 ,0.6107,0.3333,2.944,0.0833,0.4399,0.4315,0.1286
035250,강원랜드 ,0.6126,0.0,2.8961,0.0,0.7738,0.0519,0.1743
112040,위메이드 ,0.6218,0.619,4.3478,0.2167,0.0641,0.2046,0.7312
034730,SK ,0.5697,0.5,3.1136,0.1167,0.2953,0.2819,0.4228
