,close,diff,open,high,low,volume,agency,foreign
2020.01.15,102600.0,0.0,102600.0,102600.0,102600.0,32094.0,,
2020.01.14,102600.0,-1000.0,103000.0,109300.0,101000.0,151713.0,-23938.0,25005.0
2020.01.13,103600.0,-1400.0,105000.0,105500.0,103100.0,41262.0,7187.0,-5302.0
2020.01.10,104600.0,0.0,104100.0,105500.0,103800.0,9232.0,2742.0,1692.0
2020.01.09,104600.0,3600.0,102100.0,104600.0,101700.0,26573.0,6722.0,122.0
2020.01.08,101000.0,-1100.0,102200.0,103100.0,99600.0,40804.0,6261.0,1986.0
2020.01.07,102100.0,2500.0,99700.0,102200.0,99600.0,33445.0,555.0,2337.0
2020.01.06,99600.0,-3400.0,104000.0,104000.0,99200.0,55459.0,-14441.0,6943.0
2020.01.03,103000.0,-1300.0,105800.0,106200.0,103000.0,34262.0,-8598.0,6483.0
2020.01.02,104300.0,-1200.0,104700.0,104700.0,102100.0,33145.0,-6006.0,1126.0
2019.12.30,105500.0,500.0,103800.0,105900.0,103600.0,25418.0,5531.0,-4370.0
2019.12.27,105000.0,-1200.0,105900.0,106600.0,103600.0,39272.0,6773.0,-6199.0
2019.12.26,106200.0,4700.0,101500.0,106400.0,101000.0,61502.0,37999.0,-5624.0
2019.12.24,101500.0,-2000.0,103000.0,104300.0,100700.0,35366.0,8623.0,-7531.0
2019.12.23,103500.0,700.0,103200.0,104100.0,102000.0,29841.0,10980.0,-1727.0
2019.12.20,102800.0,-2400.0,106500.0,106900.0,102000.0,63436.0,6348.0,-5522.0
2019.12.19,105200.0,1100.0,105000.0,107700.0,103900.0,84214.0,8446.0,22196.0
2019.12.18,104100.0,800.0,103000.0,104500.0,101600.0,71587.0,-5021.0,8162.0
2019.12.17,103300.0,-2200.0,106000.0,106400.0,102500.0,67569.0,14646.0,-11193.0
2019.12.16,105500.0,-600.0,105300.0,107000.0,104100.0,26779.0,6189.0,-4020.0
2019.12.13,106100.0,2700.0,104000.0,107200.0,104000.0,47749.0,22834.0,-723.0
2019.12.12,103400.0,2000.0,101000.0,103800.0,101000.0,93641.0,8867.0,29569.0
2019.12.11,101400.0,1300.0,99600.0,101800.0,99600.0,26065.0,6814.0,1148.0
2019.12.10,100100.0,-900.0,100100.0,101500.0,99500.0,22341.0,495.0,1998.0
2019.12.09,101000.0,2700.0,99900.0,101800.0,99500.0,34565.0,2185.0,11999.0
2019.12.06,98300.0,-1000.0,99900.0,100400.0,98200.0,31754.0,5116.0,-9010.0
2019.12.05,99300.0,-900.0,100200.0,101000.0,99300.0,41589.0,8838.0,-8647.0
2019.12.04,100200.0,300.0,98500.0,100300.0,97900.0,31746.0,-5249.0,3164.0
2019.12.03,99900.0,-2900.0,101600.0,102700.0,99900.0,24065.0,-1930.0,-4009.0
2019.12.02,102800.0,2600.0,100700.0,103800.0,100600.0,54470.0,895.0,19375.0
2019.11.29,100200.0,-1900.0,102700.0,102700.0,99000.0,49189.0,-180.0,-3541.0
2019.11.28,102100.0,1600.0,99900.0,102500.0,99900.0,30232.0,609.0,6691.0
2019.11.27,100500.0,800.0,99800.0,100900.0,99000.0,24328.0,-2315.0,5231.0
2019.11.26,99700.0,-1800.0,101500.0,102500.0,99700.0,39454.0,-2504.0,9483.0
2019.11.25,101500.0,4500.0,98500.0,101900.0,98100.0,42842.0,7240.0,16259.0
2019.11.22,97000.0,-800.0,99700.0,100800.0,97000.0,33132.0,5526.0,2943.0
2019.11.21,97800.0,200.0,98300.0,99000.0,97200.0,52230.0,-9810.0,8986.0
2019.11.20,97600.0,-2800.0,100400.0,100400.0,96700.0,65079.0,-24522.0,15529.0
2019.11.19,100400.0,0.0,100700.0,101500.0,99700.0,28514.0,-11488.0,12193.0
2019.11.18,100400.0,-1700.0,102300.0,102300.0,99300.0,26978.0,-9343.0,7799.0
2019.11.15,102100.0,2000.0,99300.0,102700.0,99300.0,31082.0,4786.0,11674.0
2019.11.14,100100.0,-1400.0,102500.0,102500.0,98600.0,45820.0,-3109.0,4688.0
2019.11.13,101500.0,2300.0,98800.0,101800.0,98700.0,42437.0,-2600.0,22564.0
2019.11.12,99200.0,2100.0,98000.0,100000.0,97000.0,40138.0,16514.0,-5711.0
2019.11.11,97100.0,200.0,96000.0,98500.0,95400.0,28694.0,-585.0,4103.0
2019.11.08,96900.0,800.0,96100.0,98800.0,96100.0,28179.0,-5074.0,7100.0
2019.11.07,96100.0,-5600.0,101700.0,102600.0,95200.0,62576.0,-27212.0,3713.0
2019.11.06,101700.0,2100.0,99200.0,103500.0,98700.0,112308.0,3848.0,34741.0
2019.11.05,99600.0,3800.0,95200.0,99600.0,95200.0,65672.0,2836.0,31962.0
2019.11.04,95800.0,1600.0,94300.0,96300.0,94200.0,40112.0,11923.0,-221.0
2019.11.01,94200.0,100.0,94000.0,95400.0,93100.0,48274.0,3403.0,-1459.0
2019.10.31,94100.0,2600.0,90300.0,95900.0,90300.0,91684.0,7637.0,14071.0
2019.10.30,91500.0,-1600.0,93000.0,93000.0,90900.0,74060.0,-6759.0,-559.0
2019.10.29,93100.0,-500.0,93600.0,93600.0,92400.0,45656.0,-1127.0,1659.0
2019.10.28,93600.0,2600.0,90800.0,93600.0,90800.0,62796.0,16265.0,14020.0
2019.10.25,91000.0,700.0,90700.0,91200.0,89500.0,31077.0,2895.0,13854.0
2019.10.24,90300.0,1400.0,88500.0,90300.0,87800.0,51179.0,107.0,16610.0
2019.10.23,88900.0,-1000.0,89500.0,90000.0,88800.0,23880.0,-3860.0,5466.0
2019.10.22,89900.0,-100.0,90000.0,90900.0,88600.0,49334.0,-5020.0,3404.0
2019.10.21,90000.0,1400.0,88100.0,90000.0,87200.0,30024.0,-8884.0,12307.0
2019.10.18,88600.0,-1400.0,89400.0,91100.0,88600.0,28103.0,-4432.0,4585.0
2019.10.17,90000.0,-900.0,91000.0,91000.0,89200.0,35487.0,-3025.0,4994.0
2019.10.16,90900.0,-200.0,90200.0,91700.0,89700.0,52025.0,97.0,10773.0
2019.10.15,91100.0,2500.0,88600.0,91100.0,87900.0,69645.0,7084.0,21040.0
2019.10.14,88600.0,2600.0,86000.0,88900.0,85200.0,41881.0,11133.0,-702.0
2019.10.11,86000.0,1000.0,85100.0,86000.0,84700.0,21863.0,-3328.0,2683.0
2019.10.10,85000.0,-200.0,84700.0,85400.0,83700.0,31216.0,-14775.0,15428.0
2019.10.08,85200.0,-1600.0,85200.0,87800.0,84100.0,43715.0,-1318.0,-3853.0
2019.10.07,86800.0,1800.0,85100.0,86800.0,84300.0,145128.0,-7616.0,7267.0
2019.10.04,85000.0,900.0,84100.0,86300.0,84100.0,25255.0,-6260.0,7181.0
2019.10.02,84100.0,-3600.0,87700.0,88300.0,84000.0,49198.0,-14611.0,1637.0
2019.10.01,87700.0,-1200.0,89000.0,90000.0,87500.0,30408.0,3602.0,-7735.0
2019.09.30,88900.0,2300.0,87200.0,90100.0,86600.0,48422.0,-2044.0,16606.0
2019.09.27,86600.0,-1800.0,88200.0,88200.0,85900.0,107977.0,-4420.0,1822.0
2019.09.26,88400.0,-400.0,88800.0,89700.0,86900.0,28266.0,3893.0,-7115.0
2019.09.25,88800.0,-1900.0,90000.0,90700.0,88200.0,15830.0,-638.0,-1411.0
2019.09.24,90700.0,2200.0,89900.0,91200.0,88800.0,47176.0,2059.0,14686.0
2019.09.23,88500.0,-2000.0,89900.0,90500.0,88200.0,36404.0,-5100.0,2190.0
2019.09.20,90500.0,500.0,90000.0,90900.0,89100.0,70355.0,-1748.0,9688.0
2019.09.19,90000.0,1800.0,87400.0,90800.0,87400.0,36724.0,-516.0,17550.0
2019.09.18,88200.0,-1300.0,89600.0,90000.0,88100.0,29454.0,-97.0,1135.0
2019.09.17,89500.0,700.0,88500.0,89500.0,86900.0,53600.0,1007.0,10761.0
2019.09.16,88800.0,3900.0,85800.0,88800.0,84900.0,87897.0,263.0,36801.0
2019.09.11,84900.0,2100.0,82900.0,85400.0,82900.0,52036.0,7755.0,14209.0
2019.09.10,82800.0,-1200.0,84100.0,84400.0,81800.0,39068.0,-7235.0,7530.0
2019.09.09,84000.0,5400.0,79000.0,84400.0,79000.0,69630.0,-5779.0,44543.0
2019.09.06,78600.0,100.0,78500.0,79300.0,78100.0,57184.0,-7731.0,8147.0
2019.09.05,78500.0,600.0,77900.0,79100.0,77100.0,98683.0,-10329.0,1814.0
2019.09.04,77900.0,1500.0,76400.0,78200.0,75600.0,88226.0,-3778.0,12803.0
2019.09.03,76400.0,-2200.0,78600.0,78600.0,76200.0,208085.0,-29108.0,6637.0
2019.09.02,78600.0,2000.0,76700.0,78900.0,76700.0,69024.0,-20381.0,28624.0
2019.08.30,76600.0,-1500.0,79000.0,79100.0,76400.0,69619.0,-15473.0,438.0
