0,close,diff,open,high,low,volume,agency,foreign
2020.01.09,31900,1100,31100,31900,31100,24591,-5241.0,5311.0
2020.01.08,30800,-200,31000,31300,30500,37020,3499.0,13330.0
2020.01.07,31000,600,30500,31500,30500,21101,-2949.0,2086.0
2020.01.06,30400,-1250,31500,31750,30350,41822,-5002.0,1584.0
2020.01.03,31650,-850,32800,32850,31450,49543,-6549.0,5053.0
2020.01.02,32500,-850,33000,33050,32200,28167,-9319.0,-2543.0
2019.12.30,33350,-250,33600,33700,33250,13663,1418.0,-591.0
2019.12.27,33600,100,33300,33650,33150,14202,266.0,546.0
2019.12.26,33500,350,32900,33500,32900,21351,13400.0,-4486.0
2019.12.24,33150,50,33250,33250,32750,14464,5736.0,-441.0
2019.12.23,33100,550,32350,33150,32350,22210,9199.0,109.0
2019.12.20,32550,-100,32800,32950,32450,10977,1994.0,126.0
2019.12.19,32650,400,32200,32700,32200,18797,4210.0,-727.0
2019.12.18,32250,-450,32400,32700,32200,18153,-8914.0,4888.0
2019.12.17,32700,150,32550,32900,32250,20432,-4897.0,3686.0
2019.12.16,32550,350,32450,32800,31950,16541,1703.0,5106.0
2019.12.13,32200,-200,32500,32800,31900,24636,3337.0,-2025.0
2019.12.12,32400,-400,32950,32950,32400,32135,1090.0,844.0
2019.12.11,32800,100,32700,32950,32300,18761,6555.0,-410.0
2019.12.10,32700,-100,32500,33300,32500,43126,18855.0,-345.0
2019.12.09,32800,250,32750,33400,32250,44211,18600.0,-11636.0
2019.12.06,32550,750,31950,33050,31950,65911,18765.0,-1721.0
2019.12.05,31800,900,30950,32100,30950,64942,10651.0,11035.0
2019.12.04,30900,-450,31000,31600,30900,32561,14752.0,-10148.0
2019.12.03,31350,-100,31100,31550,30750,31152,10381.0,-4508.0
2019.12.02,31450,400,31400,31500,30950,33751,8401.0,1996.0
2019.11.29,31050,150,30950,31200,30600,23560,7584.0,-2886.0
2019.11.28,30900,-700,31650,31800,30900,35678,237.0,-4125.0
2019.11.27,31600,300,31250,31800,31200,32060,7609.0,1618.0
2019.11.26,31300,50,31500,31500,31100,25738,6990.0,-7356.0
2019.11.25,31250,750,30800,31250,30600,16361,4119.0,1515.0
2019.11.22,30500,350,30000,30850,29900,30002,11897.0,1446.0
2019.11.21,30150,-150,30300,30650,29950,25710,7299.0,-2627.0
2019.11.20,30300,-750,31100,31300,30200,35431,6367.0,2261.0
2019.11.19,31050,-500,31550,31550,30950,31286,1865.0,-4009.0
2019.11.18,31550,-150,31950,32000,31200,24349,6224.0,-3087.0
2019.11.15,31700,500,31200,32150,31150,59614,20593.0,-1452.0
2019.11.14,31200,200,31000,31250,30850,29995,3284.0,3742.0
2019.11.13,31000,450,30550,31300,30450,44843,11999.0,12628.0
2019.11.12,30550,50,30500,30800,30150,23687,6135.0,-408.0
2019.11.11,30500,-400,31250,31450,30250,35809,701.0,-12119.0
2019.11.08,30900,600,30550,30900,30100,70169,9630.0,-12934.0
2019.11.07,30300,-300,30650,30650,30050,62634,-2060.0,-27737.0
2019.11.06,30600,1700,29350,31000,29350,151014,4238.0,6171.0
2019.11.05,28900,-200,28900,29050,28500,41308,-8649.0,-2931.0
2019.11.04,29100,0,29150,29450,28900,32626,-7579.0,2023.0
2019.11.01,29100,100,29000,29250,28650,20109,-4800.0,549.0
2019.10.31,29000,-100,29200,29650,28850,29595,-6450.0,4982.0
2019.10.30,29100,100,28800,29150,28550,21616,-2256.0,217.0
2019.10.29,29000,150,29200,29350,28650,27794,-6525.0,18.0
2019.10.28,28850,-50,29300,29350,28800,18819,-1520.0,-2988.0
2019.10.25,28900,650,28450,28950,28050,31218,4379.0,-806.0
2019.10.24,28250,0,28250,28350,27700,34373,-5799.0,1785.0
2019.10.23,28250,-650,28750,28900,28100,52720,-16152.0,4281.0
2019.10.22,28900,50,28900,29050,28550,27842,-4481.0,477.0
2019.10.21,28850,-200,29100,29350,28450,38441,-8545.0,-2621.0
2019.10.18,29050,-450,29500,29500,29050,37601,-14994.0,2289.0
2019.10.17,29500,-50,29550,29750,29150,33001,-6072.0,-2395.0
2019.10.16,29550,-850,30450,30550,28500,153280,4578.0,-77822.0
2019.10.15,30400,150,30200,30600,30200,28367,7940.0,-8973.0
2019.10.14,30250,150,30150,30600,30150,32260,9104.0,-8096.0
2019.10.11,30100,50,30300,30450,30100,29288,-429.0,-7225.0
2019.10.10,30050,-100,30100,30150,29800,17924,-3985.0,2946.0
2019.10.08,30150,-50,30000,30500,29900,21239,-6083.0,-680.0
2019.10.07,30200,0,30200,30900,29850,22807,-2130.0,934.0
2019.10.04,30200,-700,30700,30900,30200,34638,-7475.0,-2725.0
2019.10.02,30900,-1100,31750,31750,30850,58687,-2198.0,-26268.0
2019.10.01,32000,450,31650,32200,31450,25361,1518.0,-4924.0
2019.09.30,31550,150,31300,31600,30800,19159,1654.0,-46.0
2019.09.27,31400,-100,31250,31600,30950,28471,6463.0,-5006.0
2019.09.26,31500,-150,31950,32100,31050,35408,2198.0,629.0
2019.09.25,31650,-700,32450,32600,31600,34211,-560.0,-1055.0
2019.09.24,32350,-650,32800,32800,31800,63631,8449.0,6080.0
2019.09.23,33000,-500,33500,33750,32900,32772,-4890.0,-1941.0
2019.09.20,33500,300,33100,34100,33050,33169,-3120.0,1385.0
2019.09.19,33200,-100,33350,34350,32850,60911,-7817.0,6025.0
2019.09.18,33300,-1100,34600,34600,33300,72840,-354.0,-17646.0
2019.09.17,34400,350,33900,34750,33250,48616,-787.0,-355.0
2019.09.16,34050,-200,34300,34750,33900,31181,-4258.0,-3732.0
2019.09.11,34250,-400,34500,35300,34100,41965,2639.0,-9301.0
2019.09.10,34650,-850,36000,36050,34300,69970,10233.0,-25784.0
2019.09.09,35500,2850,32900,36400,32650,177941,2959.0,44596.0
2019.09.06,32650,450,32300,33000,32300,26791,-1101.0,3757.0
2019.09.05,32200,-200,32600,33050,32050,38271,-5381.0,-1268.0
2019.09.04,32400,150,31950,32650,31900,21758,-3066.0,1088.0
2019.09.03,32250,-500,32350,32850,32000,22362,-1305.0,-2312.0
2019.09.02,32750,550,32000,32750,31950,22562,332.0,-1574.0
2019.08.30,32200,1300,31400,32400,31350,44469,8151.0,4284.0
