,close,diff,open,high,low,volume,agency,foreign
2020.01.09,44500.0,1900.0,43350.0,44700.0,43200.0,36560.0,7911.0,537.0
2020.01.08,42600.0,-2750.0,45250.0,45250.0,42550.0,66433.0,-12809.0,-10210.0
2020.01.07,45350.0,1350.0,44050.0,45550.0,44050.0,29808.0,3854.0,3017.0
2020.01.06,44000.0,-1900.0,45800.0,45800.0,43500.0,57803.0,-19869.0,-6902.0
2020.01.03,45900.0,-1450.0,47500.0,47800.0,45700.0,67001.0,-31397.0,-8238.0
2020.01.02,47350.0,-1000.0,48000.0,48000.0,47100.0,35123.0,-15739.0,-1903.0
2019.12.30,48350.0,250.0,47550.0,48500.0,47550.0,28344.0,-10739.0,14845.0
2019.12.27,48100.0,850.0,47000.0,48150.0,46550.0,33809.0,-4714.0,12881.0
2019.12.26,47250.0,-300.0,47550.0,47900.0,46750.0,57458.0,-9741.0,12881.0
2019.12.24,47550.0,-450.0,47550.0,48250.0,46950.0,19238.0,1914.0,-1488.0
2019.12.23,48000.0,300.0,47700.0,48300.0,47050.0,27748.0,14238.0,-4287.0
2019.12.20,47700.0,1300.0,46850.0,47950.0,46300.0,39197.0,12113.0,17538.0
2019.12.19,46400.0,-150.0,46550.0,47400.0,46150.0,38790.0,-12130.0,8715.0
2019.12.18,46550.0,250.0,46500.0,46850.0,46100.0,16450.0,1248.0,1697.0
2019.12.17,46300.0,0.0,46200.0,46450.0,46000.0,27279.0,5860.0,521.0
2019.12.16,46300.0,-600.0,46900.0,46900.0,45750.0,37106.0,-9929.0,-8089.0
2019.12.13,46900.0,550.0,46500.0,48400.0,46000.0,67207.0,-6698.0,2383.0
2019.12.12,46350.0,350.0,45900.0,47000.0,45550.0,77777.0,-39553.0,35535.0
2019.12.11,46000.0,-300.0,46050.0,46650.0,45950.0,13658.0,-308.0,-4557.0
2019.12.10,46300.0,-200.0,46050.0,47350.0,45550.0,12562.0,949.0,-4150.0
2019.12.09,46500.0,-550.0,47100.0,47350.0,46250.0,18716.0,-1139.0,-4629.0
2019.12.06,47050.0,50.0,46900.0,48200.0,46900.0,20629.0,1610.0,398.0
2019.12.05,47000.0,500.0,46300.0,47550.0,46300.0,26476.0,5848.0,9779.0
2019.12.04,46500.0,300.0,45950.0,47200.0,45550.0,20904.0,1283.0,9795.0
2019.12.03,46200.0,50.0,45250.0,46400.0,45150.0,27482.0,-1600.0,-5937.0
2019.12.02,46150.0,-1050.0,47100.0,47850.0,46150.0,29238.0,-3307.0,-9242.0
2019.11.29,47200.0,300.0,48200.0,49900.0,46900.0,79739.0,-6854.0,-3276.0
2019.11.28,46900.0,-1350.0,48050.0,48250.0,46850.0,25403.0,-5808.0,-1410.0
2019.11.27,48250.0,1450.0,47000.0,48450.0,46500.0,32485.0,10151.0,1110.0
2019.11.26,46800.0,-50.0,46600.0,46900.0,46250.0,18800.0,-4664.0,220.0
2019.11.25,46850.0,800.0,46050.0,46950.0,45700.0,13845.0,560.0,-1435.0
2019.11.22,46050.0,700.0,46150.0,46650.0,45150.0,16492.0,-3033.0,3041.0
2019.11.21,45350.0,-1450.0,46850.0,46850.0,45300.0,31748.0,-388.0,-4069.0
2019.11.20,46800.0,-1050.0,47600.0,48650.0,46600.0,23801.0,-4223.0,-4162.0
2019.11.19,47850.0,-750.0,48600.0,48600.0,47600.0,32919.0,-4361.0,-2394.0
2019.11.18,48600.0,-650.0,48900.0,49450.0,48350.0,21000.0,-10415.0,4138.0
2019.11.15,49250.0,750.0,48450.0,49600.0,47900.0,19405.0,5700.0,1029.0
2019.11.14,48500.0,-350.0,49750.0,49750.0,47650.0,34709.0,-1908.0,-1738.0
2019.11.13,48850.0,-2250.0,50200.0,51000.0,48850.0,40286.0,-6905.0,-9217.0
2019.11.12,51100.0,2400.0,48350.0,51500.0,48350.0,66024.0,9490.0,25807.0
2019.11.11,48700.0,100.0,51400.0,51600.0,48550.0,80002.0,-8635.0,-6468.0
2019.11.08,48600.0,-800.0,49150.0,50100.0,48050.0,17457.0,198.0,-3312.0
2019.11.07,49400.0,-450.0,49850.0,50200.0,49050.0,11664.0,-684.0,-186.0
2019.11.06,49850.0,150.0,48850.0,50500.0,48850.0,23092.0,2103.0,-828.0
2019.11.05,49700.0,0.0,49000.0,49800.0,48300.0,28659.0,-6667.0,13135.0
2019.11.04,49700.0,450.0,48800.0,49850.0,48700.0,19207.0,7210.0,1318.0
2019.11.01,49250.0,800.0,48300.0,49250.0,45800.0,27784.0,2307.0,-499.0
2019.10.31,48450.0,-550.0,48100.0,49400.0,48100.0,35594.0,-6557.0,2369.0
2019.10.30,49000.0,2500.0,46200.0,49250.0,46200.0,35750.0,7966.0,397.0
2019.10.29,46500.0,-1100.0,47200.0,48150.0,46500.0,18807.0,-3646.0,-2965.0
2019.10.28,47600.0,1000.0,46200.0,47750.0,46200.0,17562.0,2223.0,7314.0
2019.10.25,46600.0,-850.0,47600.0,47750.0,46600.0,19449.0,-504.0,239.0
2019.10.24,47450.0,-50.0,47000.0,47700.0,46500.0,20638.0,441.0,-3840.0
2019.10.23,47500.0,1400.0,45900.0,47500.0,45750.0,51518.0,1433.0,11022.0
2019.10.22,46100.0,-800.0,46950.0,47000.0,45700.0,45176.0,-6206.0,-5000.0
2019.10.21,46900.0,-600.0,47500.0,47700.0,46300.0,23858.0,-6650.0,-990.0
2019.10.18,47500.0,-1400.0,48400.0,49350.0,47300.0,27593.0,-3962.0,-9904.0
2019.10.17,48900.0,1150.0,47900.0,49050.0,47500.0,27091.0,6212.0,4143.0
2019.10.16,47750.0,-400.0,47650.0,48350.0,47050.0,24805.0,-7198.0,2810.0
2019.10.15,48150.0,-300.0,47950.0,48700.0,47500.0,16467.0,-1708.0,-2046.0
2019.10.14,48450.0,950.0,47600.0,48850.0,47500.0,22682.0,5170.0,-1280.0
2019.10.11,47500.0,-900.0,47850.0,48900.0,47250.0,22707.0,-1323.0,-2548.0
2019.10.10,48400.0,-400.0,48300.0,48800.0,47650.0,22693.0,-10928.0,3611.0
2019.10.08,48800.0,-200.0,49000.0,49650.0,48200.0,31415.0,-6916.0,-853.0
2019.10.07,49000.0,400.0,48600.0,49600.0,48250.0,40905.0,1504.0,11563.0
2019.10.04,48600.0,-950.0,49850.0,49850.0,48050.0,41068.0,-861.0,63.0
2019.10.02,49550.0,-2450.0,52000.0,52000.0,49350.0,41066.0,-17262.0,6816.0
2019.10.01,52000.0,-100.0,52000.0,52000.0,50900.0,28665.0,2560.0,-2703.0
2019.09.30,52100.0,100.0,51700.0,52200.0,50300.0,61525.0,-9381.0,17562.0
2019.09.27,52000.0,600.0,51600.0,52500.0,51100.0,66191.0,6604.0,4015.0
2019.09.26,51400.0,1200.0,50000.0,51800.0,50000.0,67095.0,8868.0,11746.0
2019.09.25,50200.0,1200.0,49000.0,51300.0,49000.0,96336.0,5329.0,9491.0
2019.09.24,49000.0,2050.0,47250.0,49550.0,46750.0,48774.0,8727.0,23047.0
2019.09.23,46950.0,-1250.0,48100.0,48100.0,46750.0,23492.0,-8022.0,4964.0
2019.09.20,48200.0,300.0,47900.0,48800.0,47400.0,14664.0,-2014.0,2754.0
2019.09.19,47900.0,-700.0,48200.0,49000.0,47200.0,20433.0,987.0,769.0
2019.09.18,48600.0,0.0,48600.0,49250.0,48100.0,8584.0,-1250.0,1118.0
2019.09.17,48600.0,50.0,48550.0,49200.0,48200.0,16267.0,-2556.0,3724.0
2019.09.16,48550.0,-300.0,49350.0,49600.0,48100.0,24328.0,2740.0,2307.0
2019.09.11,48850.0,-150.0,49150.0,49550.0,48750.0,33988.0,4625.0,602.0
2019.09.10,49000.0,650.0,48450.0,49500.0,47950.0,42325.0,22568.0,-7813.0
2019.09.09,48350.0,450.0,47800.0,48700.0,47550.0,26172.0,8202.0,-1253.0
2019.09.06,47900.0,-200.0,48100.0,48100.0,46700.0,30928.0,6111.0,-9111.0
2019.09.05,48100.0,-550.0,48650.0,48950.0,47650.0,22749.0,3540.0,-2333.0
2019.09.04,48650.0,-50.0,48700.0,49400.0,48050.0,43899.0,-35.0,3498.0
2019.09.03,48700.0,2750.0,45950.0,49400.0,45950.0,137627.0,56321.0,4902.0
2019.09.02,45950.0,700.0,45050.0,46950.0,41900.0,28593.0,109.0,6911.0
2019.08.30,45250.0,600.0,45400.0,45850.0,45000.0,30533.0,9831.0,1000.0
2019.08.29,44650.0,300.0,43900.0,44900.0,43700.0,22490.0,3474.0,-1332.0
2019.08.28,44350.0,150.0,43750.0,44400.0,42500.0,37346.0,-921.0,55.0
2019.08.27,44200.0,700.0,44400.0,44500.0,43050.0,15588.0,-1013.0,2845.0
2019.08.26,43500.0,-2250.0,45100.0,45100.0,43250.0,34343.0,-5595.0,-10543.0
2019.08.23,45750.0,-1350.0,46650.0,47100.0,45750.0,21705.0,1682.0,-4992.0
