0,close,diff,open,high,low,volume,agency,foreign
2020.01.09,220000,500,219000,223500,218500,3997,-511.0,-633.0
2020.01.08,219500,-500,218000,222000,213500,3581,110.0,-254.0
2020.01.07,220000,2000,218000,224500,218000,4355,339.0,-374.0
2020.01.06,218000,-4500,222000,225000,218000,2932,-973.0,-111.0
2020.01.03,222500,-1000,223500,227000,221500,3988,-303.0,-74.0
2020.01.02,223500,-2500,226000,228500,223500,3377,-232.0,-82.0
2019.12.30,226000,500,231000,231000,224000,3186,-1186.0,-53.0
2019.12.27,225500,-1500,226000,231000,223000,3733,55.0,-79.0
2019.12.26,227000,3000,226000,227000,223500,2494,879.0,-454.0
2019.12.24,224000,2000,222000,226000,222000,3705,1543.0,322.0
2019.12.23,222000,1000,224000,224500,221500,1845,373.0,298.0
2019.12.20,221000,1500,220000,224000,219500,3802,1775.0,127.0
2019.12.19,219500,1000,218500,221500,218500,2228,45.0,-141.0
2019.12.18,218500,-1500,220000,222000,218500,2302,-800.0,-516.0
2019.12.17,220000,-1500,220500,221500,219500,2183,-639.0,-227.0
2019.12.16,221500,-3000,224500,225500,221500,2797,-1290.0,-251.0
2019.12.13,224500,1000,223500,226000,221500,3252,-139.0,-139.0
2019.12.12,223500,0,223500,226500,222000,5576,-189.0,-296.0
2019.12.11,223500,-500,225000,225000,222000,3221,-962.0,1303.0
2019.12.10,224000,-2000,225500,226500,223000,2425,391.0,-955.0
2019.12.09,226000,-7500,233500,234000,226000,4364,-293.0,-322.0
2019.12.06,233500,6000,223000,234500,220500,7188,1165.0,1715.0
2019.12.05,227500,3500,224000,229000,220000,4989,-4.0,835.0
2019.12.04,224000,-3500,225000,227000,220500,4180,-585.0,-1070.0
2019.12.03,227500,-1000,228500,229000,225000,2606,859.0,-1039.0
2019.12.02,228500,3500,225000,230500,223500,3664,164.0,-252.0
2019.11.29,225000,-3000,231000,236500,223000,6773,1499.0,456.0
2019.11.28,228000,0,225000,229000,225000,3042,1646.0,-822.0
2019.11.27,228000,7500,222500,229500,221000,7587,5516.0,-86.0
2019.11.26,220500,2000,217500,221000,217000,3942,1529.0,-150.0
2019.11.25,218500,4500,215000,219500,215000,4818,2280.0,-432.0
2019.11.22,214000,-500,216000,216000,212000,2915,473.0,-472.0
2019.11.21,214500,-1000,212000,216000,212000,2531,641.0,-848.0
2019.11.20,215500,-2500,217000,217500,213500,5725,-2330.0,419.0
2019.11.19,218000,1000,216000,219000,214500,3709,-424.0,1186.0
2019.11.18,217000,-3000,219000,221500,215500,4495,-1200.0,-275.0
2019.11.15,220000,500,217500,222000,217500,4816,1518.0,-415.0
2019.11.14,219500,3500,215500,220000,215500,4162,1317.0,512.0
2019.11.13,216000,-2500,219500,220000,216000,4471,1487.0,-628.0
2019.11.12,218500,3500,214500,219000,214500,3917,1348.0,335.0
2019.11.11,215000,-3000,218000,219500,215000,6438,-2208.0,-403.0
2019.11.08,218000,0,218000,219000,217000,4167,642.0,-732.0
2019.11.07,218000,1500,215500,219000,215500,4333,-1166.0,416.0
2019.11.06,216500,500,216000,218000,214500,9057,-2635.0,1365.0
2019.11.05,216000,-500,216500,217500,215000,8405,-5763.0,532.0
2019.11.04,216500,-7500,219500,222500,214000,17383,-5818.0,-181.0
2019.11.01,224000,-5000,230000,230000,221000,14782,-7623.0,4815.0
2019.10.31,229000,-3500,231500,232000,228500,6395,-929.0,-36.0
2019.10.30,232500,-1000,232000,234500,229500,3952,-285.0,216.0
2019.10.29,233500,-4000,238500,239000,233000,3996,639.0,-1576.0
2019.10.28,237500,3000,236000,239000,234500,4726,1931.0,-432.0
2019.10.25,234500,-500,232000,236000,231000,3392,-214.0,-609.0
2019.10.24,235000,500,232500,236000,231000,2975,257.0,-397.0
2019.10.23,234500,2500,231000,237500,230500,5859,2311.0,-871.0
2019.10.22,232000,1500,230000,235000,230000,6719,2534.0,-1191.0
2019.10.21,230500,-3000,237000,237000,229500,5166,-424.0,277.0
2019.10.18,233500,-1500,237000,237000,231000,3914,-280.0,-593.0
2019.10.17,235000,500,233500,238500,233500,3794,532.0,-403.0
2019.10.16,234500,-4500,239000,244000,232000,9284,-1906.0,-284.0
2019.10.15,239000,7000,233000,242000,228500,11308,3636.0,-42.0
2019.10.14,232000,7500,227500,234000,226500,8136,1752.0,1257.0
2019.10.11,224500,-1000,229500,229500,223000,4144,830.0,-1208.0
