,close,diff,open,high,low,volume,agency,foreign
2020.01.15,16500.0,0.0,16500.0,16500.0,16500.0,102267.0,,
2020.01.14,16500.0,300.0,16350.0,16800.0,16150.0,1510188.0,42291.0,31827.0
2020.01.13,16200.0,100.0,16100.0,16200.0,15800.0,615352.0,-31105.0,113789.0
2020.01.10,16100.0,-100.0,16150.0,16250.0,15850.0,215669.0,10709.0,-2204.0
2020.01.09,16200.0,200.0,16400.0,16550.0,15850.0,1205196.0,-12910.0,-227987.0
2020.01.08,16000.0,-100.0,15900.0,16250.0,15500.0,1700411.0,-51060.0,319963.0
2020.01.07,16100.0,-100.0,16650.0,16900.0,15950.0,1706574.0,26054.0,-185758.0
2020.01.06,16200.0,-400.0,16250.0,16600.0,15800.0,1567354.0,58402.0,-251717.0
2020.01.03,16600.0,500.0,16300.0,16950.0,16150.0,1835058.0,268145.0,-216331.0
2020.01.02,16100.0,-150.0,16500.0,16550.0,16000.0,949342.0,34168.0,-259976.0
2019.12.30,16250.0,650.0,15750.0,16450.0,15650.0,1450105.0,257087.0,-6555.0
2019.12.27,15600.0,0.0,15600.0,15750.0,15400.0,722301.0,44339.0,25641.0
2019.12.26,15600.0,100.0,15600.0,15800.0,15450.0,903667.0,158936.0,-4297.0
2019.12.24,15500.0,250.0,15400.0,15900.0,15250.0,1815236.0,164099.0,-45570.0
2019.12.23,15250.0,250.0,15200.0,15300.0,14900.0,1168026.0,120816.0,73753.0
2019.12.20,15000.0,350.0,14850.0,15050.0,14750.0,911364.0,50968.0,26739.0
2019.12.19,14650.0,-200.0,15000.0,15000.0,14500.0,671404.0,55314.0,-163441.0
2019.12.18,14850.0,0.0,14850.0,15300.0,14700.0,1182415.0,15289.0,-101691.0
2019.12.17,14850.0,700.0,14300.0,15150.0,14200.0,2506656.0,146163.0,-74363.0
2019.12.16,14150.0,-250.0,14500.0,14600.0,14100.0,616847.0,29123.0,-86405.0
2019.12.13,14400.0,350.0,14200.0,14550.0,14150.0,848713.0,116976.0,95763.0
2019.12.12,14050.0,0.0,14050.0,14250.0,14000.0,614061.0,-18697.0,-22928.0
2019.12.11,14050.0,50.0,14000.0,14150.0,13950.0,211717.0,27135.0,1622.0
2019.12.10,14000.0,-50.0,14000.0,14050.0,13900.0,262625.0,-1580.0,2855.0
2019.12.09,14050.0,0.0,14100.0,14250.0,13850.0,364164.0,48384.0,-27394.0
2019.12.06,14050.0,350.0,13800.0,14200.0,13800.0,707578.0,102689.0,-9078.0
2019.12.05,13700.0,250.0,13550.0,14000.0,13500.0,869352.0,154202.0,-36219.0
2019.12.04,13450.0,-50.0,13300.0,13600.0,13300.0,273236.0,67038.0,-44224.0
2019.12.03,13500.0,0.0,13400.0,13650.0,13200.0,355718.0,85164.0,-42078.0
2019.12.02,13500.0,250.0,13300.0,13650.0,13250.0,372577.0,14628.0,-36754.0
2019.11.29,13250.0,-200.0,13450.0,13600.0,13150.0,566182.0,-5091.0,-139998.0
2019.11.28,13450.0,-350.0,13800.0,14000.0,13450.0,782099.0,-9832.0,-132958.0
2019.11.27,13800.0,-550.0,14350.0,14450.0,13800.0,1047974.0,-51391.0,-175509.0
2019.11.26,14350.0,800.0,13600.0,15550.0,13550.0,5169986.0,-296328.0,198633.0
2019.11.25,13550.0,600.0,13050.0,13600.0,13050.0,376592.0,46542.0,98276.0
2019.11.22,12950.0,-100.0,13300.0,13300.0,12900.0,413464.0,-34902.0,-118830.0
2019.11.21,13050.0,-350.0,13350.0,13400.0,12950.0,468571.0,-75068.0,-44478.0
2019.11.20,13400.0,-250.0,13650.0,13650.0,13100.0,465928.0,-165844.0,-10598.0
