0,close,diff,open,high,low,volume,agency,foreign
2020.01.09,42200,200,41850,42400,41800,1254525,16293.0,-108209.0
2020.01.08,42000,-750,42100,42100,41750,1122496,-266259.0,153116.0
2020.01.07,42750,650,42500,42750,42100,759544,-156195.0,147114.0
2020.01.06,42100,-650,42400,42700,41900,719169,-258933.0,184385.0
2020.01.03,42750,150,42750,43200,42650,963717,-480416.0,380739.0
2020.01.02,42600,-750,43100,43450,42400,772880,-259420.0,146905.0
2019.12.30,43350,-750,43800,43950,43150,1151434,-297239.0,44423.0
2019.12.27,44100,-1650,44200,44300,43850,1181670,-485630.0,212527.0
2019.12.26,45750,200,45850,45950,45400,550143,183629.0,-41129.0
2019.12.24,45550,-250,45800,46000,45450,731294,43038.0,-57463.0
2019.12.23,45800,450,45350,45800,45100,686108,39064.0,-23962.0
2019.12.20,45350,-100,45750,45800,45050,1161672,63430.0,-108705.0
2019.12.19,45450,150,45350,45450,44900,940960,-190819.0,222253.0
2019.12.18,45300,950,44650,45300,44600,1297107,-255859.0,394491.0
2019.12.17,44350,-50,44400,44400,43700,1546289,-439772.0,283015.0
2019.12.16,44400,-1250,45600,46150,44150,1360019,-168915.0,105259.0
2019.12.13,45650,1450,44600,45650,44550,1384408,114423.0,97710.0
2019.12.12,44200,550,43600,44500,43600,2231245,389867.0,-329376.0
2019.12.11,43650,-400,43600,44100,43500,1118191,167388.0,-213316.0
2019.12.10,44050,-50,43650,44250,43650,730172,35773.0,-11156.0
2019.12.09,44100,350,43950,44300,43650,763089,-9610.0,97665.0
2019.12.06,43750,350,43700,43750,43400,601523,-31.0,21349.0
2019.12.05,43400,50,43150,43900,43100,1008145,-85701.0,52052.0
2019.12.04,43350,-100,43100,43600,43100,1008097,-204041.0,161644.0
2019.12.03,43450,-150,43100,43600,42900,819497,-44267.0,16017.0
2019.12.02,43600,50,43550,43900,43300,602272,112603.0,-124828.0
2019.11.29,43550,-950,44750,44800,43400,991502,41769.0,-188481.0
2019.11.28,44500,-150,44350,44650,44200,532711,74176.0,-54663.0
2019.11.27,44650,-300,45300,45450,44600,924878,70695.0,-63714.0
2019.11.26,44950,600,44800,44950,44250,2152647,133838.0,-12135.0
2019.11.25,44350,150,44200,44650,44000,1182531,186691.0,-105674.0
