0,close,diff,open,high,low,volume,agency,foreign
2020.01.09,77600,900,76900,77700,76400,47527,-14391.0,2773.0
2020.01.08,76700,-2400,78200,78300,75800,36935,-3776.0,-7773.0
2020.01.07,79100,800,79200,79400,77700,21897,-1734.0,1698.0
2020.01.06,78300,-2300,79500,80600,77600,31981,-6045.0,-205.0
2020.01.03,80600,800,80200,80800,79600,21575,-4988.0,7293.0
2020.01.02,79800,-700,80600,80900,79400,19211,826.0,-3264.0
2019.12.30,80500,300,80200,80500,79700,12480,-982.0,3035.0
2019.12.27,80200,-800,79900,80400,79300,17746,-4838.0,1966.0
2019.12.26,81000,0,81100,81100,80200,16090,450.0,-2181.0
2019.12.24,81000,0,80700,81400,80600,20884,2144.0,2267.0
2019.12.23,81000,300,81200,81200,80200,18974,4999.0,1194.0
2019.12.20,80700,100,81200,81200,80200,13429,1296.0,-2259.0
2019.12.19,80600,1500,79600,81200,79400,34093,-7643.0,12326.0
2019.12.18,79100,-400,79500,80200,78800,22473,-6444.0,2633.0
2019.12.17,79500,-300,79600,79900,79000,31260,-2620.0,-5289.0
2019.12.16,79800,100,80100,80100,79700,20897,-3715.0,155.0
2019.12.13,79700,-300,80000,81300,79600,44711,-1675.0,-10650.0
2019.12.12,80000,-200,80400,80600,79600,61253,3164.0,-17885.0
2019.12.11,80200,0,80200,80500,79700,18290,558.0,-2829.0
2019.12.10,80200,900,79900,80700,78800,25870,-1969.0,-1157.0
2019.12.09,79300,-1700,81200,81200,78700,38991,-5687.0,-8067.0
2019.12.06,81000,-2400,84000,84000,80700,32513,-5647.0,-10203.0
2019.12.05,83400,-500,83500,84600,82900,16658,-3750.0,1312.0
2019.12.04,83900,-600,83700,84600,83700,7746,1021.0,-1253.0
2019.12.03,84500,-500,85000,85000,83900,9662,-2746.0,1762.0
2019.12.02,85000,0,85000,85300,84500,11755,4166.0,-3704.0
2019.11.29,85000,-100,85700,85900,84600,18532,4259.0,-3036.0
2019.11.28,85100,600,84300,85700,84200,16128,4490.0,-3278.0
2019.11.27,84500,-300,85100,85400,84300,13480,-3814.0,-150.0
2019.11.26,84800,100,84700,85400,84400,25420,-1857.0,-1516.0
2019.11.25,84700,100,84600,85400,84400,15798,-2064.0,-327.0
2019.11.22,84600,-800,85400,86000,84100,16210,1470.0,-4542.0
2019.11.21,85400,100,85300,86300,84300,17609,4499.0,-2738.0
2019.11.20,85300,-500,85300,86400,85200,12553,366.0,95.0
2019.11.19,85800,-1000,86500,86800,85500,14107,-814.0,1483.0
2019.11.18,86800,200,86300,87100,86200,10904,-868.0,290.0
2019.11.15,86600,-200,85700,87400,85700,18701,2845.0,-690.0
2019.11.14,86800,400,86400,86900,85300,18718,161.0,-1672.0
2019.11.13,86400,-500,86600,87300,85900,18245,-3718.0,1819.0
2019.11.12,86900,400,87800,87800,86100,14538,-2141.0,284.0
2019.11.11,86500,-1100,87000,87900,86500,16641,6242.0,-5721.0
2019.11.08,87600,-100,88400,88400,87000,15635,1280.0,-705.0
2019.11.07,87700,400,87100,88800,87000,23280,1397.0,940.0
2019.11.06,87300,1700,85600,88400,85100,23929,-2439.0,6115.0
2019.11.05,85600,-500,86100,86600,85300,14705,-1757.0,2794.0
2019.11.04,86100,1500,85100,86300,84700,14118,762.0,1851.0
2019.11.01,84600,100,84500,85400,84100,7307,250.0,-343.0
2019.10.31,84500,-1800,86300,87000,84500,21895,-4456.0,-1438.0
2019.10.30,86300,0,85200,86900,85100,11457,-46.0,665.0
2019.10.29,86300,-500,86800,87400,86300,8942,124.0,-858.0
2019.10.28,86800,1300,85600,86900,85100,9693,3993.0,-28.0
2019.10.25,85500,500,83800,85900,83800,7923,1065.0,-1367.0
2019.10.24,85000,-200,84600,85400,84300,10193,-1265.0,-39.0
2019.10.23,85200,-1400,86500,86700,85000,14894,-4654.0,1763.0
2019.10.22,86600,0,86300,87800,86300,10043,3168.0,-1108.0
2019.10.21,86600,200,86800,87300,85900,5002,1168.0,310.0
2019.10.18,86400,100,87500,87500,85800,8062,1390.0,-2169.0
2019.10.17,86300,400,86600,88300,85900,16295,6676.0,-2719.0
2019.10.16,85900,1600,84400,86400,84300,21039,10362.0,-7524.0
2019.10.15,84300,-500,85100,85600,83700,29190,5188.0,-12534.0
2019.10.14,84800,100,85600,86200,84500,18350,-1762.0,-3036.0
2019.10.11,84700,-300,85300,86300,84700,18216,-2449.0,-2229.0
2019.10.10,85000,-1600,85600,86700,85000,20391,239.0,-7025.0
2019.10.08,86600,500,86100,87000,86000,15560,5014.0,-5101.0
2019.10.07,86100,-700,86500,87800,85500,21557,2816.0,-5972.0
2019.10.04,86800,-2300,88700,89600,86800,23969,-2713.0,-4723.0
2019.10.02,89100,-1900,90500,90800,88800,22456,-12981.0,6586.0
2019.10.01,91000,-500,91200,91600,90400,21840,-8784.0,3014.0
2019.09.30,91500,-400,91700,92800,91000,9210,954.0,-1164.0
2019.09.27,91900,100,92600,92800,91200,22504,407.0,1280.0
2019.09.26,91800,400,91600,92800,91300,19573,-1147.0,1900.0
2019.09.25,91400,-2500,93200,94500,91200,26004,2077.0,-5508.0
2019.09.24,93900,-500,94600,95100,92400,22359,-7269.0,1019.0
2019.09.23,94400,-700,95100,95500,93400,15515,-7186.0,2937.0
2019.09.20,95100,200,94600,95400,94100,10982,3600.0,-3936.0
2019.09.19,94900,300,94400,95200,93500,12322,836.0,-3080.0
2019.09.18,94600,0,94200,95500,94200,13032,5861.0,-5642.0
2019.09.17,94600,-500,94600,95500,94000,11084,1742.0,-4146.0
2019.09.16,95100,-2600,97200,97300,95100,19816,3510.0,-6128.0
2019.09.11,97700,3900,94200,97700,94200,23004,8366.0,-4368.0
2019.09.10,93800,800,92600,94100,92500,14479,3838.0,-1672.0
2019.09.09,93000,-300,92600,93900,92500,8282,557.0,-375.0
2019.09.06,93300,-700,93700,94700,92800,12780,1399.0,-3884.0
2019.09.05,94000,400,93000,95100,92900,21161,5283.0,-1570.0
2019.09.04,93600,-500,93800,94500,92400,13565,2156.0,-3870.0
2019.09.03,94100,1200,92200,94500,92200,12219,1701.0,-1106.0
2019.09.02,92900,-200,93000,93700,92000,11416,2334.0,-2156.0
2019.08.30,93100,100,92700,93600,92700,20606,7144.0,-5392.0
2019.08.29,93000,100,92300,93200,92000,12213,2377.0,-2638.0
2019.08.28,92900,500,93900,93900,92000,14538,4052.0,-2501.0
2019.08.27,92400,-200,92200,94000,91300,21253,6286.0,-5331.0
2019.08.26,92600,-600,92000,92900,91500,8001,1398.0,-241.0
2019.08.23,93200,-1600,94800,95200,93100,11046,-1097.0,30.0
2019.08.22,94800,-300,94200,95800,93100,22227,3581.0,-3579.0
2019.08.21,95100,-200,95900,95900,93700,13148,1011.0,-924.0
2019.08.20,95300,-600,95000,95800,93500,16549,3171.0,-3989.0
2019.08.19,95900,1300,95500,96500,93200,23345,9138.0,-4921.0
2019.08.16,94600,3300,90000,94900,89900,39456,-1839.0,7020.0
2019.08.14,91300,-400,91700,92300,90000,23971,4748.0,-4082.0
2019.08.13,91700,3100,87800,92400,87500,36605,7762.0,-2394.0
2019.08.12,88600,-200,90100,90500,86600,28558,-1283.0,-2913.0
2019.08.09,88800,-200,90300,90500,88000,13025,-2096.0,-351.0
2019.08.08,89000,1200,89700,90000,87200,24432,4349.0,-2712.0
2019.08.07,87800,-700,87400,89300,85600,31670,3975.0,-5347.0
2019.08.06,88500,-300,85100,89200,85100,40308,20178.0,-20278.0
2019.08.05,88800,-1600,89200,90600,87000,32082,11300.0,-9003.0
2019.08.02,90400,-1700,90800,91500,90100,23710,9111.0,-12049.0
2019.08.01,92100,-1200,92800,92800,90400,22621,7178.0,-7590.0
2019.07.31,93300,-300,94000,94000,92600,12746,4035.0,-4148.0
2019.07.30,93600,-1200,94600,95800,92300,28921,1634.0,-6179.0
2019.07.29,94800,-400,95400,96300,94100,16388,1705.0,-1054.0
2019.07.26,95200,-400,95600,96400,94200,13285,-3291.0,3296.0
2019.07.25,95600,-1000,97500,98000,95200,18973,784.0,303.0
2019.07.24,96600,-2000,97900,98500,96500,20549,-7196.0,3574.0
2019.07.23,98600,200,97700,99400,97300,11950,563.0,1486.0
2019.07.22,98400,-2100,100000,100000,97100,31915,-8347.0,6228.0
2019.07.19,100500,-500,101000,102500,99900,16554,2892.0,-4278.0
2019.07.18,101000,0,100500,102500,100000,14476,3337.0,-3340.0
2019.07.17,101000,-1500,103000,103000,100500,18100,3328.0,-4037.0
2019.07.16,102500,1500,101500,102500,100000,20559,3289.0,215.0
2019.07.15,101000,-2500,103500,104000,99700,24989,-4752.0,1497.0
2019.07.12,103500,1500,102000,104000,100500,22212,9597.0,-5307.0
2019.07.11,102000,-500,103000,103000,101000,12768,1161.0,-517.0
2019.07.10,102500,1000,101000,103500,100500,19237,-878.0,1253.0
2019.07.09,101500,-1000,104000,104000,101000,17802,-2617.0,2448.0
2019.07.08,102500,-1000,104000,104500,102000,24700,-6430.0,10000.0
2019.07.05,103500,1500,102500,105000,102500,39760,-12352.0,14383.0
2019.07.04,102000,-500,102500,104000,100500,34772,-6160.0,8885.0
2019.07.03,102500,-1000,103500,105000,102000,35411,-10150.0,12005.0
2019.07.02,103500,-2500,105500,105500,103000,26783,-6686.0,5540.0
2019.07.01,106000,0,106500,107000,104500,17190,236.0,284.0
2019.06.28,106000,500,105500,107500,104500,25658,12367.0,-8389.0
2019.06.27,105500,2500,103000,106000,102000,20816,11247.0,-2979.0
2019.06.26,103000,1500,102000,105000,102000,26333,-1026.0,1693.0
2019.06.25,101500,-1500,103000,103500,101000,20292,924.0,-528.0
2019.06.24,103000,-1500,104500,105000,103000,15386,5468.0,-4774.0
2019.06.21,104500,2500,101000,104500,101000,27017,4352.0,-977.0
2019.06.20,102000,-1500,103500,104500,101500,18432,-89.0,3338.0
2019.06.19,103500,2500,101000,104500,100500,22548,8956.0,-4763.0
2019.06.18,101000,500,100000,105000,100000,62065,17792.0,-9329.0
2019.06.17,100500,1400,100500,102000,98500,42195,11016.0,-9998.0
2019.06.14,99100,1400,97000,100500,96400,65869,13763.0,-19302.0
2019.06.13,97700,2100,95600,97700,94000,46992,18323.0,-18660.0
2019.06.12,95600,2500,94400,96100,93200,40162,8035.0,700.0
2019.06.11,93100,1500,91500,93800,91200,14584,3567.0,-1309.0
2019.06.10,91600,400,91700,92400,91000,23611,-193.0,3295.0
2019.06.07,91200,-500,92500,92500,91000,18196,-2745.0,-181.0
2019.06.05,91700,200,91300,92600,90600,18355,3528.0,-3556.0
2019.06.04,91500,0,92400,92400,91000,22758,-2499.0,-2196.0
2019.06.03,91500,100,90900,91700,90500,24282,-2895.0,1123.0
2019.05.31,91400,-600,91000,92400,90700,18793,3185.0,-5262.0
2019.05.30,92000,-400,92300,92700,90200,22649,6299.0,-8436.0
2019.05.29,92400,-1700,94900,94900,92100,13057,2132.0,-5927.0
2019.05.28,94100,300,94600,96300,93200,26734,7516.0,-7487.0
2019.05.27,93800,400,93900,94400,92400,9180,-401.0,810.0
2019.05.24,93400,200,94200,95500,92300,14648,2629.0,-3312.0
2019.05.23,93200,-500,92800,94700,92200,9558,2768.0,-1131.0
2019.05.22,93700,-1400,94100,94500,92100,22431,1507.0,-3981.0
2019.05.21,95100,900,93100,95900,92900,14903,2372.0,-1619.0
2019.05.20,94200,100,94100,95100,93200,12151,-1725.0,1649.0
2019.05.17,94100,-700,95700,95700,93700,11035,431.0,-132.0
2019.05.16,94800,-1800,95200,96400,92200,30764,5770.0,-7574.0
2019.05.15,96600,300,96100,96700,91800,25048,10338.0,-10879.0
2019.05.14,96300,-500,98500,98500,94300,23312,8266.0,-9865.0
2019.05.13,96800,-600,96800,97400,95000,15636,8976.0,-7438.0
2019.05.10,97400,300,98500,98700,96500,17395,2071.0,-3426.0
2019.05.09,97100,-2500,99200,99900,97100,23071,2823.0,-4930.0
2019.05.08,99600,1100,98500,99700,97700,18224,-359.0,352.0
2019.05.07,98500,-200,97600,98700,97500,26011,-861.0,-2672.0
2019.05.03,98700,-1300,99500,99500,98100,43133,-196.0,-5282.0
2019.05.02,100000,0,99600,100500,98900,19031,-883.0,-2776.0
2019.04.30,100000,-1500,101500,101500,99100,25602,3290.0,-8787.0
2019.04.29,101500,1500,100500,101500,99000,14007,6959.0,-7005.0
2019.04.26,100000,-1000,101000,101500,99000,38857,11502.0,-13159.0
2019.04.25,101000,-500,101500,102000,101000,17376,878.0,-4983.0
2019.04.24,101500,-2000,103500,103500,101000,23529,203.0,-7146.0
2019.04.23,103500,1000,103000,104000,102000,19659,5823.0,-5411.0
2019.04.22,102500,-500,102500,103500,102000,12964,-1842.0,-995.0
2019.04.19,103000,0,102500,104000,102500,6827,-743.0,-411.0
2019.04.18,103000,-2500,105500,105500,102000,28588,-3446.0,-6849.0
2019.04.17,105500,-500,106000,106000,105000,11714,3861.0,-5360.0
2019.04.16,106000,500,105000,107000,105000,23748,-1766.0,-729.0
2019.04.15,105500,1000,104500,106500,103500,23008,-963.0,-1309.0
2019.04.12,104500,-500,105500,105500,104500,17222,1530.0,-1982.0
2019.04.11,105000,-1000,106500,107000,104500,22453,-3900.0,-731.0
2019.04.10,106000,1000,105500,106500,105500,18062,563.0,-2053.0
2019.04.09,105000,-1000,106000,106500,105000,32228,85.0,-6706.0
2019.04.08,106000,-500,106500,107000,105500,18613,600.0,-4405.0
2019.04.05,106500,0,106500,107000,105500,18714,911.0,-5937.0
2019.04.04,106500,-500,106500,107500,106000,9436,2523.0,-3211.0
2019.04.03,107000,1000,106000,107500,105000,16850,5123.0,-6320.0
2019.04.02,106000,-2000,107500,109000,105500,43643,-5231.0,754.0
2019.04.01,108000,-1000,109000,110500,107000,17348,-1589.0,-2047.0
2019.03.29,109000,2000,107500,111000,107500,16683,976.0,870.0
2019.03.28,107000,-1500,107500,110000,106500,18671,2856.0,-3194.0
2019.03.27,108500,-2000,110000,110500,107500,21118,1910.0,-3495.0
2019.03.26,110500,500,111000,112000,109500,13279,3566.0,-3965.0
2019.03.25,110000,-1500,111500,112000,108500,16423,5321.0,-1950.0
2019.03.22,111500,0,111500,113000,110000,25633,-4823.0,4203.0
2019.03.21,111500,-2500,113500,114000,111000,24393,-4254.0,3245.0
2019.03.20,114000,-500,113500,114500,111500,22522,-5794.0,6739.0
2019.03.19,114500,-2000,116500,116500,112500,31464,-6782.0,2796.0
2019.03.18,116500,-1000,117500,118000,115500,16721,7522.0,-5449.0
2019.03.15,117500,1000,115500,117500,115500,33937,-3504.0,7284.0
2019.03.14,116500,5000,112500,116500,112000,55035,6460.0,5784.0
2019.03.13,111500,-500,114000,114000,110500,36396,-15042.0,12376.0
2019.03.12,112000,-1500,113500,114000,110500,42696,-9594.0,10956.0
2019.03.11,113500,4500,110000,115000,109000,48715,-3851.0,14318.0
2019.03.08,109000,-4000,113500,113500,108500,33827,-849.0,-908.0
2019.03.07,113000,2500,111500,113000,110500,28326,173.0,4603.0
2019.03.06,110500,500,110000,112000,109000,29331,-95.0,1279.0
2019.03.05,110000,1000,109500,112000,109500,34594,-3689.0,7209.0
2019.03.04,109000,0,110500,112500,109000,30078,-4755.0,5481.0
2019.02.28,109000,2000,108000,111000,106000,36481,2185.0,5739.0
2019.02.27,107000,1500,106000,108000,105500,11470,3513.0,-1542.0
2019.02.26,105500,0,107500,108500,105000,22750,414.0,-2342.0
2019.02.25,105500,2000,103500,106000,103500,20127,-5602.0,10384.0
2019.02.22,103500,500,103500,104500,103000,17553,-3185.0,8204.0
2019.02.21,103000,-500,103000,104500,102500,20287,-7220.0,7871.0
2019.02.20,103500,-500,104000,104500,103500,14173,-5362.0,4114.0
2019.02.19,104000,-1000,105000,105500,104000,7285,2724.0,-2741.0
2019.02.18,105000,0,105500,106000,104000,12380,767.0,-243.0
2019.02.15,105000,-1000,104000,105500,103000,12952,1228.0,-276.0
2019.02.14,106000,1500,103500,106000,101500,25756,2038.0,-68.0
2019.02.13,104500,1500,101500,105000,101500,19694,2225.0,1163.0
2019.02.12,103000,1500,102000,104500,101500,18169,1589.0,1413.0
2019.02.11,101500,-500,101500,103000,100000,23204,4901.0,-5149.0
2019.02.08,102000,-2000,104500,104500,101000,21112,-3936.0,2977.0
2019.02.07,104000,0,105500,105500,101500,29280,-1731.0,1665.0
2019.02.01,104000,1000,103000,105000,102500,20539,-248.0,3914.0
2019.01.31,103000,-1500,105500,105500,102500,20470,-340.0,-896.0
2019.01.30,104500,1500,104500,105000,102500,29192,-6849.0,6528.0
2019.01.29,103000,0,103000,103500,101500,40068,-12479.0,13580.0
2019.01.28,103000,-500,103000,104000,101000,33285,-750.0,700.0
2019.01.25,103500,1500,101500,104500,101000,20494,-571.0,5271.0
2019.01.24,102000,-500,101500,103000,101000,24132,-647.0,1810.0
2019.01.23,102500,2600,100000,103000,99700,25959,2599.0,-2342.0
2019.01.22,99900,-100,100500,101500,99600,16222,-46.0,-1378.0
2019.01.21,100000,-1500,101500,102500,100000,13854,1811.0,-4799.0
2019.01.18,101500,500,101000,104000,100500,28614,3365.0,-862.0
2019.01.17,101000,1000,100000,102500,99400,25245,-4285.0,5960.0
2019.01.16,100000,200,99500,100500,99000,23379,239.0,2737.0
2019.01.15,99800,300,100500,101000,99100,20337,-7544.0,7008.0
