,close,diff,open,high,low,volume,agency,foreign
2019.03.14,76500.0,-700.0,77300.0,77600.0,76400.0,28254.0,-2724.0,3042.0
2019.03.13,77200.0,1200.0,75500.0,77500.0,75500.0,35165.0,1455.0,10120.0
2019.03.12,76000.0,1000.0,75900.0,76700.0,74600.0,26896.0,9563.0,980.0
2019.03.11,75000.0,900.0,74000.0,75800.0,73100.0,22985.0,-333.0,-3054.0
2019.03.08,74100.0,100.0,73700.0,75800.0,72800.0,27570.0,2976.0,2251.0
2019.03.07,74000.0,-1900.0,75400.0,76300.0,73500.0,19696.0,-2185.0,-1521.0
2019.03.06,75900.0,-300.0,76200.0,76500.0,75100.0,16674.0,-3663.0,2880.0
2019.03.05,76200.0,-700.0,77600.0,77600.0,75200.0,29212.0,-421.0,-3977.0
2019.03.04,76900.0,2300.0,74700.0,76900.0,74700.0,35151.0,2102.0,6605.0
2019.02.28,74600.0,-200.0,74800.0,76500.0,74400.0,48650.0,442.0,15777.0
2019.02.27,74800.0,1800.0,73300.0,75100.0,72800.0,29677.0,1724.0,7005.0
2019.02.26,73000.0,-400.0,73400.0,73500.0,72500.0,16147.0,-1828.0,-1586.0
2019.02.25,73400.0,800.0,72600.0,73900.0,72000.0,15344.0,1710.0,1948.0
2019.02.22,72600.0,-1400.0,73500.0,74000.0,72500.0,23157.0,-6330.0,-4676.0
2019.02.21,74000.0,200.0,74200.0,74700.0,73100.0,23353.0,1207.0,-3175.0
2019.02.20,73800.0,-500.0,74300.0,74500.0,73200.0,20557.0,-5.0,-757.0
2019.02.19,74300.0,-100.0,75300.0,75300.0,73800.0,29335.0,-807.0,-3888.0
2019.02.18,74400.0,3400.0,71000.0,74500.0,71000.0,57543.0,354.0,18158.0
2019.02.15,71000.0,0.0,70800.0,71600.0,70100.0,21700.0,-4335.0,4169.0
2019.02.14,71000.0,-300.0,71300.0,71900.0,70900.0,16170.0,-2610.0,1255.0
2019.02.13,71300.0,600.0,70800.0,71900.0,70300.0,20068.0,-1389.0,1872.0
2019.02.12,70700.0,-900.0,71800.0,72000.0,70500.0,20734.0,-467.0,-7299.0
2019.02.11,71600.0,1300.0,70300.0,72000.0,70200.0,30650.0,765.0,10536.0
2019.02.08,70300.0,0.0,70300.0,71200.0,70100.0,30894.0,-3974.0,-2146.0
2019.02.07,70300.0,-200.0,70900.0,70900.0,69500.0,28546.0,341.0,2309.0
2019.02.01,70500.0,600.0,70000.0,71000.0,70000.0,23799.0,-3464.0,-901.0
2019.01.31,69900.0,0.0,70000.0,70900.0,69800.0,23230.0,-5437.0,2687.0
2019.01.30,69900.0,1000.0,68500.0,70300.0,68500.0,22668.0,-208.0,6580.0
2019.01.29,68900.0,100.0,69200.0,69200.0,68300.0,20521.0,2762.0,-5193.0
2019.01.28,68800.0,200.0,68400.0,69400.0,68000.0,27044.0,576.0,-552.0
2019.01.25,68600.0,-300.0,69000.0,69300.0,68400.0,30706.0,-2052.0,-8053.0
2019.01.24,68900.0,1400.0,67300.0,69000.0,66500.0,36449.0,-4211.0,5989.0
2019.01.23,67500.0,-2700.0,70000.0,70300.0,67500.0,57689.0,1071.0,-12178.0
2019.01.22,70200.0,0.0,70000.0,70800.0,69900.0,16603.0,-4036.0,-282.0
