0,close,diff,open,high,low,volume,agency,foreign
2020.01.09,101700,15,101695,101700,101695,7533,596.0,0.0
2020.01.08,101685,0,101685,101690,101680,15365,-3021.0,0.0
2020.01.07,101685,10,101685,101685,101680,10088,-7233.0,0.0
2020.01.06,101675,15,101670,101675,101670,37008,-4144.0,0.0
2020.01.03,101660,10,101660,101665,101655,13961,-3239.0,0.0
2020.01.02,101650,20,101650,101655,101645,21730,-6855.0,0.0
2019.12.30,101630,-5,101635,101635,101630,18196,-6408.0,0.0
2019.12.27,101635,15,101630,101635,101630,18443,-4788.0,0.0
2019.12.26,101620,10,101620,101625,101620,32674,19258.0,0.0
2019.12.24,101610,-5,101615,101615,101610,29403,7579.0,0.0
2019.12.23,101615,10,101610,101615,101610,33253,1293.0,0.0
2019.12.20,101605,0,101600,101610,101600,13804,1612.0,0.0
2019.12.19,101605,15,101600,101605,101600,32101,-13640.0,0.0
2019.12.18,101590,0,101590,101595,101590,55926,790.0,0.0
2019.12.17,101590,0,101590,101595,101585,14883,-142.0,0.0
2019.12.16,101590,5,101580,101590,101580,5125,829.0,0.0
2019.12.13,101585,0,101585,101590,101580,16282,-4184.0,0.0
2019.12.12,101585,20,101580,101585,101580,17362,2689.0,0.0
2019.12.11,101565,-5,101570,101575,101565,9664,2289.0,0.0
2019.12.10,101570,10,101565,101570,101565,10977,9460.0,0.0
2019.12.09,101560,0,101560,101565,101560,18404,-507.0,0.0
2019.12.06,101560,0,101565,101565,101560,6635,1219.0,0.0
2019.12.05,101560,15,101555,101560,101555,21062,8557.0,0.0
2019.12.04,101545,5,101540,101550,101540,16215,4169.0,0.0
2019.12.03,101540,0,101535,101545,101535,7135,-4535.0,0.0
2019.12.02,101540,15,101535,101540,101530,32223,1731.0,0.0
2019.11.29,101525,0,101525,101530,101520,26274,-3234.0,0.0
2019.11.28,101525,10,101520,101525,101515,28935,-7610.0,0.0
2019.11.27,101515,10,101510,101515,101505,21585,3423.0,0.0
