0,close,diff,open,high,low,volume,agency,foreign
2020.01.09,21950,600,21800,22000,21600,13601,21.0,-1644.0
2020.01.08,21350,-1100,22300,22350,21350,43457,0.0,-2757.0
2020.01.07,22450,150,22300,22650,22200,12568,-1931.0,380.0
2020.01.06,22300,-450,22400,22700,22100,28227,-1762.0,1737.0
2020.01.03,22750,100,22750,23150,22600,26453,0.0,2491.0
2020.01.02,22650,-500,23150,23300,22500,55120,-15452.0,4577.0
2019.12.30,23150,50,23200,23300,23050,10170,0.0,1903.0
2019.12.27,23100,-300,23400,23400,23000,18845,-3787.0,2085.0
2019.12.26,23400,100,23500,23750,23000,43663,-7696.0,889.0
2019.12.24,23300,-450,23500,25000,23300,123320,-3413.0,-13359.0
2019.12.23,23750,-450,24050,24250,23500,39451,-3060.0,-3315.0
2019.12.20,24200,100,24000,24250,24000,29732,-4690.0,11688.0
2019.12.19,24100,0,24100,24350,23950,36048,-4691.0,12680.0
2019.12.18,24100,300,24100,24150,23800,20304,-4673.0,3049.0
2019.12.17,23800,100,23600,24100,23550,22469,-4761.0,6396.0
2019.12.16,23700,-400,23650,24100,23500,50244,-48.0,5889.0
2019.12.13,24100,-100,24200,24700,23950,31612,-4989.0,2747.0
2019.12.12,24200,300,24000,24450,23950,17377,-4731.0,2147.0
2019.12.11,23900,-500,24500,24500,23750,51028,-3463.0,-30979.0
2019.12.10,24400,150,24150,24500,24150,12843,-2332.0,3020.0
2019.12.09,24250,50,24500,24800,24050,28953,1913.0,242.0
2019.12.06,24200,0,24150,25000,24150,29369,-3491.0,4144.0
2019.12.05,24200,-700,25100,25100,24050,26114,0.0,-4556.0
2019.12.04,24900,800,24100,24900,23800,43808,0.0,3720.0
2019.12.03,24100,-100,23950,24300,23750,11315,0.0,743.0
2019.12.02,24200,800,23450,24350,23400,40111,-3.0,-989.0
2019.11.29,23400,-500,23950,23950,23300,14418,-2059.0,-901.0
2019.11.28,23900,300,23350,23950,23350,15420,0.0,3694.0
2019.11.27,23600,100,23500,23800,23350,7935,-490.0,289.0
2019.11.26,23500,-200,23900,24150,23500,20068,-2141.0,7879.0
2019.11.25,23700,500,23600,23850,23300,15231,-100.0,3970.0
2019.11.22,23200,200,23250,23300,22950,12801,-1200.0,1450.0
2019.11.21,23000,-700,23750,23800,22950,20590,-6042.0,255.0
2019.11.20,23700,300,23400,24500,22900,51695,-2734.0,588.0
2019.11.19,23400,-200,23900,23900,23200,20760,-2802.0,3309.0
2019.11.18,23600,250,23350,23600,23150,20467,-2930.0,5552.0
2019.11.15,23350,150,23150,23450,23050,14812,-1872.0,4436.0
2019.11.14,23200,300,22800,23600,22750,21447,-3723.0,7393.0
2019.11.13,22900,-500,23300,23450,22550,43930,-9703.0,-3077.0
2019.11.12,23400,-250,23650,23850,23250,17749,-598.0,-1123.0
2019.11.11,23650,500,23400,24150,23100,54754,-2754.0,-1887.0
2019.11.08,23150,50,23150,23400,22900,10080,-1218.0,-442.0
2019.11.07,23100,-150,23350,23500,23000,8012,0.0,-683.0
2019.11.06,23250,350,23000,23600,22900,30292,0.0,3046.0
2019.11.05,22900,100,22650,22950,22600,12360,0.0,2624.0
2019.11.04,22800,100,22700,22900,22600,9323,-14.0,-669.0
2019.11.01,22700,100,22500,22800,22400,6033,78.0,304.0
2019.10.31,22600,400,22650,22650,22300,12225,-13.0,2790.0
2019.10.30,22200,-150,22350,22800,22000,5778,0.0,-1027.0
2019.10.29,22350,-50,22500,22650,22200,5461,-477.0,1339.0
2019.10.28,22400,50,22250,22850,22100,10218,0.0,231.0
2019.10.25,22350,-100,22500,22500,22200,5492,0.0,-355.0
2019.10.24,22450,100,22150,22500,22050,9473,0.0,-1286.0
2019.10.23,22350,-150,22500,22950,22200,11952,-900.0,2948.0
2019.10.22,22500,-150,22650,23000,22300,11425,-10.0,-1421.0
2019.10.21,22650,-300,23050,23050,22500,5657,0.0,-368.0
2019.10.18,22950,-150,23100,23100,22700,10196,0.0,-569.0
2019.10.17,23100,-50,23250,23300,22950,6769,0.0,-53.0
2019.10.16,23150,150,23250,23400,22850,13519,-122.0,3751.0
2019.10.15,23000,200,23000,23000,22750,7084,0.0,836.0
2019.10.14,22800,0,23100,23100,22750,8418,-10.0,-911.0
2019.10.11,22800,-150,22950,23400,22800,14643,0.0,2792.0
2019.10.10,22950,50,22600,23100,22600,10452,2533.0,2782.0
2019.10.08,22900,-400,23600,23600,22750,15273,-252.0,479.0
2019.10.07,23300,-300,23800,23800,23100,14567,-353.0,1378.0
2019.10.04,23600,200,23700,23700,23200,12084,2920.0,186.0
2019.10.02,23400,-300,23600,23600,23200,6329,1659.0,1080.0
2019.10.01,23700,350,23400,23700,23150,7271,3898.0,915.0
2019.09.30,23350,0,23350,23800,23000,7509,-179.0,-829.0
2019.09.27,23350,-50,23450,23900,23000,11890,2101.0,-1349.0
2019.09.26,23400,500,22950,23650,22950,9039,3550.0,210.0
2019.09.25,22900,-650,23250,23750,22900,13406,2113.0,-1316.0
2019.09.24,23550,-100,23400,23800,23400,7981,2625.0,73.0
2019.09.23,23650,-100,23700,24150,23300,8229,-229.0,-1849.0
2019.09.20,23750,350,23600,24000,23600,9335,0.0,-447.0
2019.09.19,23400,-400,23750,24000,23150,23078,2326.0,-7156.0
2019.09.18,23800,50,24000,24000,23450,8687,3278.0,-3546.0
2019.09.17,23750,450,23300,23950,23200,17717,3341.0,-826.0
2019.09.16,23300,350,23450,23450,23050,10211,3407.0,220.0
2019.09.11,22950,600,22250,23050,22250,19874,7073.0,3470.0
2019.09.10,22350,-350,23000,23000,22300,9291,-35.0,-4006.0
2019.09.09,22700,300,22450,23000,22200,16353,6275.0,-1649.0
2019.09.06,22400,-100,22550,22850,22200,6854,-168.0,-2073.0
2019.09.05,22500,-200,22900,22950,22200,22622,5940.0,-11926.0
2019.09.04,22700,250,22300,22900,22300,13805,8166.0,-3417.0
2019.09.03,22450,650,21800,22700,21600,27429,9543.0,-1092.0
2019.09.02,21800,200,21700,21850,21350,11709,-314.0,2508.0
2019.08.30,21600,100,21800,22100,21350,15357,-9.0,-4049.0
2019.08.29,21500,-100,21600,21750,21100,11719,0.0,-3214.0
2019.08.28,21600,750,20850,21700,20800,8707,0.0,1176.0
2019.08.27,20850,0,21150,21600,20850,10552,0.0,-2342.0
2019.08.26,20850,-1250,21650,21750,20850,22089,0.0,1594.0
2019.08.23,22100,-500,22600,22600,22000,19801,2945.0,-1416.0
2019.08.22,22600,1150,21450,22600,21050,52002,12579.0,-6581.0
2019.08.21,21450,1250,20400,21850,19950,36931,8249.0,-544.0
2019.08.20,20200,350,20150,20450,19950,8852,0.0,1386.0
2019.08.19,19850,-300,20450,20600,19750,18081,1.0,-3041.0
2019.08.16,20150,-150,20100,20200,19750,15048,0.0,-447.0
2019.08.14,20300,-200,21050,21050,20300,16312,1.0,-6269.0
2019.08.13,20500,100,20650,20850,20300,21786,1750.0,-8072.0
2019.08.12,20400,1000,19300,22200,19150,71519,0.0,-19278.0
2019.08.09,19400,150,19100,19500,19000,21013,-7.0,-7516.0
2019.08.08,19250,650,18750,19450,18000,27546,-132.0,-802.0
2019.08.07,18600,650,17300,18750,17300,62290,-13.0,23898.0
2019.08.06,17950,-550,17400,19100,17300,66747,22.0,14940.0
2019.08.05,18500,-2900,21250,21250,18250,85671,-759.0,-1714.0
2019.08.02,21400,250,20550,21500,20400,20321,765.0,5951.0
2019.08.01,21150,-150,21350,21600,21100,8359,-18.0,112.0
2019.07.31,21300,250,20800,21450,20550,16461,1.0,2789.0
2019.07.30,21050,200,20800,21250,20550,17872,2.0,3773.0
2019.07.29,20850,-1350,22250,22250,20550,41518,-474.0,6547.0
2019.07.26,22200,-300,22350,22800,21950,19831,-725.0,1777.0
2019.07.25,22500,-1000,23500,23500,22350,36322,-5268.0,-4316.0
2019.07.24,23500,-650,23900,24150,23450,12382,0.0,-2087.0
2019.07.23,24150,-150,24600,24600,23950,9178,-93.0,-516.0
2019.07.22,24300,150,24400,24650,24150,10781,0.0,-319.0
2019.07.19,24150,800,23300,24150,23200,13582,2105.0,855.0
2019.07.18,23350,-300,23450,23650,23050,14644,0.0,164.0
2019.07.17,23650,-450,24100,24200,23400,28981,-5.0,472.0
2019.07.16,24100,-350,24450,24800,24050,20156,-198.0,5207.0
2019.07.15,24450,-300,24700,24700,24250,14188,3741.0,-1700.0
2019.07.12,24750,-50,25000,25000,24500,15484,0.0,-2867.0
2019.07.11,24800,100,24700,25000,24700,12409,0.0,-203.0
2019.07.10,24700,0,24600,25300,24600,10558,-131.0,199.0
2019.07.09,24700,-400,24950,25350,24350,25869,1677.0,-2462.0
2019.07.08,25100,-350,25300,25400,24750,22440,5998.0,-1910.0
2019.07.05,25450,450,25000,25450,25000,7883,-115.0,286.0
2019.07.04,25000,-400,25100,25500,24900,20369,26.0,-290.0
2019.07.03,25400,-450,25600,25800,25300,15116,150.0,-3020.0
2019.07.02,25850,50,25600,25850,25450,13622,-10.0,-1124.0
2019.07.01,25800,350,25400,26350,25400,20682,542.0,4568.0
2019.06.28,25450,-450,25650,26150,24900,35500,-2532.0,-5121.0
2019.06.27,25900,0,25900,26150,25500,23935,0.0,2138.0
2019.06.26,25900,-250,26400,26450,25800,23301,500.0,1679.0
2019.06.25,26150,-200,26200,26700,26000,16454,-358.0,-1978.0
2019.06.24,26350,-100,26450,26800,26200,11794,0.0,-503.0
2019.06.21,26450,0,26700,26750,26300,14186,0.0,-836.0
2019.06.20,26450,-100,26750,26750,26300,21374,-158.0,-2050.0
2019.06.19,26550,150,26650,26900,26300,15814,0.0,-3900.0
2019.06.18,26400,-150,27100,27100,26300,16574,403.0,-1063.0
2019.06.17,26550,-150,27050,27050,26450,12909,221.0,389.0
2019.06.14,26700,-500,27350,27350,26650,16620,282.0,2227.0
2019.06.13,27200,200,26900,27400,26300,18539,-21.0,3171.0
2019.06.12,27000,-400,27350,27750,27000,16755,400.0,-856.0
2019.06.11,27400,300,26950,27950,26800,39815,1098.0,9602.0
2019.06.10,27100,250,27000,27100,26850,17621,1110.0,-639.0
2019.06.07,26850,50,27100,27250,26600,22142,-10171.0,8120.0
2019.06.05,26800,200,26850,27200,26800,17542,1996.0,2964.0
2019.06.04,26600,350,26050,26750,26050,22456,507.0,5094.0
2019.06.03,26250,-200,26250,26400,26150,6433,293.0,866.0
2019.05.31,26450,250,26050,26700,26050,15090,0.0,2341.0
2019.05.30,26200,-100,26200,26550,26050,16248,137.0,216.0
2019.05.29,26300,-650,26950,27100,26100,21084,53.0,-7892.0
2019.05.28,26950,950,26300,27600,25750,64238,108.0,-4246.0
2019.05.27,26000,0,26400,26550,25950,16672,45.0,-1718.0
2019.05.24,26000,-500,26500,27000,25750,20655,0.0,-3631.0
2019.05.23,26500,400,26350,27050,25950,39452,4974.0,-2984.0
2019.05.22,26100,900,25300,26100,25250,18557,0.0,4707.0
2019.05.21,25200,0,25200,25650,25000,23957,112.0,2183.0
2019.05.20,25200,-850,25900,26550,25000,26742,0.0,-1637.0
2019.05.17,26050,-450,26400,26850,25800,15901,-142.0,-3357.0
2019.05.16,26500,500,26150,26800,26000,24917,0.0,5759.0
2019.05.15,26000,750,25350,26200,25350,24635,0.0,6891.0
2019.05.14,25250,-300,25000,25700,24950,39738,-6845.0,945.0
2019.05.13,25550,-400,26000,26200,25550,23069,-1000.0,545.0
2019.05.10,25950,-350,26150,26550,25750,27852,54.0,345.0
2019.05.09,26300,-550,27150,27200,26150,26612,0.0,-4779.0
2019.05.08,26850,-300,26700,26850,26650,21966,-3257.0,-3419.0
2019.05.07,27150,-300,26550,27300,26550,16720,0.0,1657.0
2019.05.03,27450,250,27250,27700,27200,21918,0.0,-4409.0
2019.05.02,27200,150,27050,27500,26900,26295,0.0,1616.0
2019.04.30,27050,-150,27400,27400,26850,8432,-188.0,312.0
2019.04.29,27200,650,26550,27250,26550,13810,0.0,2505.0
2019.04.26,26550,-550,27150,27150,26550,36916,-4831.0,-1241.0
2019.04.25,27100,-350,27500,27700,27050,17580,-184.0,1543.0
2019.04.24,27450,-450,27900,27950,27250,36189,0.0,2699.0
2019.04.23,27900,0,27900,27950,27550,21121,4175.0,-4115.0
2019.04.22,27900,50,28000,28500,27600,30428,-8687.0,4556.0
2019.04.19,27850,350,27500,27950,27500,16475,0.0,2287.0
2019.04.18,27500,-500,28150,28150,27450,34848,0.0,-5922.0
2019.04.17,28000,-250,28250,28250,27800,20493,0.0,-3010.0
2019.04.16,28250,-350,28700,28700,28000,32479,5.0,-6458.0
2019.04.15,28600,800,28200,28600,27800,51341,-424.0,-3659.0
2019.04.12,27800,-150,28200,28300,27750,31616,-637.0,-3874.0
2019.04.11,27950,0,28100,28200,27700,29802,-1172.0,-2674.0
2019.04.10,27950,100,27750,27950,26950,73559,-12221.0,10215.0
2019.04.09,27850,200,27550,27950,27450,19122,-1500.0,-953.0
2019.04.08,27650,-200,28050,28400,27350,25412,0.0,2102.0
2019.04.05,27850,-150,28300,28300,27500,19915,4423.0,-645.0
2019.04.04,28000,-150,28400,28400,27800,17050,2265.0,-2759.0
2019.04.03,28150,0,28050,28350,27850,18896,0.0,-4428.0
2019.04.02,28150,50,28400,28400,27950,18451,79.0,-5835.0
2019.04.01,28100,500,27600,28600,27600,40557,475.0,-5369.0
2019.03.29,27600,250,27200,27600,26500,41013,0.0,3598.0
2019.03.28,27350,-750,28350,28400,27200,34301,-50.0,-8527.0
2019.03.27,28100,50,28050,28250,27950,18792,33.0,-353.0
2019.03.26,28050,-50,28300,28600,27850,35870,100.0,-14.0
2019.03.25,28100,-1400,29150,29150,28100,64108,85.0,-10499.0
2019.03.22,29500,550,29000,29550,29000,33893,0.0,-4660.0
2019.03.21,28950,-450,29500,29550,28950,42499,-14148.0,7218.0
2019.03.20,29400,-450,29850,30050,29150,48246,-3901.0,3413.0
2019.03.19,29850,-450,30600,30600,29800,30657,0.0,1502.0
2019.03.18,30300,-550,31050,31050,29950,38203,1163.0,-8211.0
2019.03.15,30850,350,30500,30850,29600,71601,2800.0,-365.0
2019.03.14,30500,-700,31600,31600,30500,51977,0.0,-3519.0
2019.03.13,31200,250,31000,32250,30450,104535,10.0,12669.0
2019.03.12,30950,850,31800,32900,30500,372801,8894.0,-26870.0
2019.03.11,30100,1900,28450,30150,27950,168842,9271.0,134.0
2019.03.08,28200,250,27650,28550,27600,34595,9161.0,-601.0
2019.03.07,27950,-400,28100,28650,27800,33117,0.0,1802.0
2019.03.06,28350,-600,28900,28900,28100,51969,-9612.0,-5686.0
2019.03.05,28950,-100,29050,29250,28400,58237,0.0,-12792.0
2019.03.04,29050,1500,28200,29700,27950,122992,-28.0,4614.0
2019.02.28,27550,-100,27900,28600,27500,73899,147.0,8731.0
2019.02.27,27650,550,27300,27750,27100,39155,0.0,3019.0
2019.02.26,27100,50,26900,27450,26900,20739,0.0,-630.0
2019.02.25,27050,0,27300,27300,26700,45490,-16360.0,1867.0
2019.02.22,27050,-900,27950,28000,26900,76048,-7737.0,-25020.0
2019.02.21,27950,600,27350,28450,27200,120344,-21209.0,16844.0
2019.02.20,27350,-150,27600,27900,27200,62436,-6917.0,709.0
2019.02.19,27500,-150,27800,28100,27300,52160,-10908.0,-8220.0
2019.02.18,27650,-350,28100,28200,27550,72462,-11656.0,-7328.0
2019.02.15,28000,1450,26800,28400,26500,139101,-14028.0,1717.0
2019.02.14,26550,0,26600,27000,26450,24334,-6183.0,2350.0
2019.02.13,26550,200,26350,26550,26050,14605,0.0,1600.0
2019.02.12,26350,-200,26700,26850,26200,19292,-1227.0,-3565.0
2019.02.11,26550,100,26450,26700,26250,27258,-6649.0,3916.0
2019.02.08,26450,-200,26550,27050,26300,21672,0.0,-4550.0
2019.02.07,26650,350,26400,26650,25850,40226,-900.0,10249.0
2019.02.01,26300,150,26300,26500,26000,21265,0.0,2118.0
2019.01.31,26150,200,25900,26350,25850,28434,-577.0,3095.0
2019.01.30,25950,-400,26400,26500,25800,22030,-1968.0,-2011.0
2019.01.29,26350,50,26300,26400,25900,24286,-7.0,-6436.0
2019.01.28,26300,200,26200,26650,26150,32451,-936.0,589.0
2019.01.25,26100,-400,26500,26600,25850,33530,-2751.0,-9200.0
2019.01.24,26500,1500,25250,26600,24900,111571,31138.0,-11629.0
2019.01.23,25000,350,24350,25150,24350,21531,-2195.0,-943.0
2019.01.22,24650,200,24450,24650,24350,30332,-8126.0,4650.0
2019.01.21,24450,-400,24950,25150,24400,36915,0.0,760.0
2019.01.18,24850,-250,24950,25300,24800,25017,-1500.0,-1437.0
2019.01.17,25100,-450,25500,25650,25050,32392,-6678.0,-7365.0
2019.01.16,25550,50,25500,25800,25200,23932,1010.0,3141.0
2019.01.15,25500,-300,25750,26100,25300,43792,0.0,-2177.0
2019.01.14,25800,50,25750,26100,25500,13678,-22.0,-3614.0
2019.01.11,25750,350,25650,26050,25400,27046,945.0,6726.0
2019.01.10,25400,-650,26100,26150,25350,41640,-10416.0,-10260.0
2019.01.09,26050,50,25950,27000,25850,37328,-4602.0,-11555.0
2019.01.08,26000,550,25600,26100,25350,44890,10307.0,-10127.0
2019.01.07,25450,-300,26100,26350,25100,55515,-27134.0,-4107.0
2019.01.04,25750,-50,25900,26100,25250,31917,-8139.0,2478.0
2019.01.03,25800,-1000,26800,27100,25750,35180,-1152.0,-1815.0
2019.01.02,26800,-800,27700,27900,26700,32134,-4289.0,-1732.0
2018.12.28,27600,-900,28500,28700,27450,29954,552.0,-4658.0
2018.12.27,28500,-750,29800,29800,28100,47560,2611.0,-7582.0
2018.12.26,31200,-50,31100,31300,30450,52401,3107.0,-7180.0
2018.12.24,31250,750,30600,31250,30450,34765,2997.0,3325.0
2018.12.21,30500,-450,30700,31300,30500,35879,4491.0,-4488.0
