0,close,diff,open,high,low,volume,agency,foreign
2020.01.09,130500,1000,131500,131500,129500,22732,-2910.0,-5071.0
2020.01.08,129500,-4500,133000,133000,129500,31347,-2201.0,-8781.0
2020.01.07,134000,2000,132000,135500,132000,18497,-2916.0,6954.0
2020.01.06,132000,-3500,135000,135500,131500,30032,-7225.0,5576.0
2020.01.03,135500,-1000,137000,137500,134000,24610,-6815.0,3887.0
2020.01.02,136500,-1000,137500,138000,135000,26182,979.0,-4475.0
2019.12.30,137500,2000,136500,138000,134500,19752,6641.0,619.0
2019.12.27,135500,1500,133000,136000,132500,21541,3142.0,-2336.0
2019.12.26,134000,1500,134000,134500,132000,13823,2554.0,110.0
2019.12.24,132500,-2500,135500,135500,132500,23060,2371.0,-5234.0
2019.12.23,135000,3500,131500,136500,131000,44937,13122.0,1104.0
2019.12.20,131500,0,131500,132500,130500,12780,688.0,-2942.0
2019.12.19,131500,500,131000,133000,130000,17114,69.0,5099.0
2019.12.18,131000,-500,132000,132000,130000,19069,-1542.0,5157.0
2019.12.17,131500,-500,131500,132000,129000,28598,-6859.0,8987.0
2019.12.16,132000,-1500,133500,134000,131000,17177,-2475.0,-1539.0
2019.12.13,133500,1500,132500,134500,132500,17646,3012.0,1727.0
2019.12.12,132000,1000,131000,132000,130500,26330,177.0,2286.0
2019.12.11,131000,500,130500,131000,129000,14494,-3356.0,5330.0
2019.12.10,130500,500,130000,130500,128000,20274,-6503.0,7459.0
2019.12.09,130000,-2000,131000,131500,130000,18987,-7379.0,2955.0
2019.12.06,132000,1000,131500,133000,130500,13729,-761.0,1032.0
2019.12.05,131000,-2000,131500,132500,130000,22956,-4225.0,381.0
2019.12.04,133000,500,131500,133500,131000,10496,1598.0,-109.0
2019.12.03,132500,-1000,132000,134000,131000,9449,117.0,189.0
2019.12.02,133500,1000,132500,133500,132000,11455,1367.0,367.0
2019.11.29,132500,-3500,136500,136500,131500,24849,-164.0,-2457.0
2019.11.28,136000,2000,136000,137500,134500,26761,541.0,-294.0
2019.11.27,134000,0,135000,135500,133000,15793,684.0,-1010.0
2019.11.26,134000,500,133500,135000,132500,17292,-3554.0,1788.0
2019.11.25,133500,2000,132500,134000,132000,19816,-5729.0,4040.0
2019.11.22,131500,-1000,131000,135000,131000,21200,-2414.0,1558.0
2019.11.21,132500,-2000,134500,134500,130500,25198,8.0,-1639.0
2019.11.20,134500,-3000,137000,137000,133500,27706,-7476.0,-4991.0
2019.11.19,137500,-2000,139000,139500,137000,17289,-693.0,-4179.0
2019.11.18,139500,2500,139000,140500,137500,24336,4450.0,467.0
2019.11.15,137000,1000,135000,137500,135000,25788,-4822.0,-3242.0
2019.11.14,136000,1000,134500,137500,134000,28452,-1643.0,3638.0
2019.11.13,135000,-4500,138500,139500,134500,52380,-1520.0,-4510.0
2019.11.12,139500,-1500,141500,141500,138500,33468,-6347.0,-6340.0
2019.11.11,141000,-1000,142000,143000,140500,27666,-5549.0,-1027.0
2019.11.08,142000,500,143000,143500,142000,23648,-80.0,-1445.0
2019.11.07,141500,-1500,142500,142500,141000,38241,-10868.0,-4905.0
2019.11.06,143000,-1000,145000,145500,143000,44677,-9977.0,-3902.0
2019.11.05,144000,-500,145000,145500,142000,55001,-19689.0,-12670.0
2019.11.04,144500,-5000,143500,147000,142500,164941,-91431.0,60604.0
2019.11.01,149500,-3000,153000,153000,149500,20156,-2340.0,-5410.0
2019.10.31,152500,3000,149500,152500,149000,35660,-2036.0,8564.0
2019.10.30,149500,500,149500,150500,148500,14592,2160.0,2933.0
2019.10.29,149000,500,148500,150000,148500,15635,-2987.0,3215.0
2019.10.28,148500,-500,149000,150000,148000,18953,-1762.0,4160.0
2019.10.25,149000,-500,149500,150500,148000,23005,-4035.0,5381.0
2019.10.24,149500,-500,150500,151500,147000,31266,-7148.0,5919.0
2019.10.23,150000,-1500,152000,152500,149000,31383,-9031.0,6561.0
2019.10.22,151500,1500,150000,151500,149000,34627,-3863.0,13320.0
2019.10.21,150000,1000,149000,150000,148500,22647,3977.0,1812.0
2019.10.18,149000,500,150000,150500,148500,21333,-170.0,-353.0
2019.10.17,148500,-2000,154500,157500,147000,72222,-23273.0,-4952.0
2019.10.16,150500,-1000,151500,152000,149500,26856,-7070.0,6820.0
2019.10.15,151500,500,151500,152500,150500,18870,-3000.0,3894.0
2019.10.14,151000,1500,150500,152500,149500,21796,-3583.0,9365.0
2019.10.11,149500,-3000,153000,154000,149500,22352,-10423.0,5037.0
2019.10.10,152500,2000,150500,154500,148500,30006,1876.0,1935.0
2019.10.08,150500,3500,147500,151000,147000,36076,-3499.0,12772.0
2019.10.07,147000,-5000,150000,151000,143000,103629,-50032.0,14576.0
2019.10.04,152000,-4000,156000,156000,151000,33181,-3463.0,2509.0
2019.10.02,156000,-1000,159000,159500,154500,40277,-5780.0,1007.0
2019.10.01,157000,8000,151000,158000,150500,52957,17618.0,-3068.0
2019.09.30,149000,-1000,150500,151500,148000,26786,-1277.0,-4828.0
2019.09.27,150000,500,149500,152000,149000,49225,-17280.0,11514.0
2019.09.26,149500,-6500,154500,156000,146000,169364,-66945.0,17341.0
2019.09.25,156000,-10000,162000,164500,155000,96925,-17303.0,977.0
2019.09.24,166000,-500,165500,168500,161000,21069,2854.0,1897.0
2019.09.23,166500,-3000,168500,170000,166500,14847,-1538.0,-1703.0
2019.09.20,169500,500,168500,170500,167500,17367,-5960.0,4070.0
2019.09.19,169000,0,168000,170500,167500,16743,-2332.0,2814.0
2019.09.18,169000,0,171000,171500,169000,12882,-2186.0,1596.0
2019.09.17,169000,500,167000,170000,165500,22683,2292.0,5478.0
2019.09.16,168500,3000,167500,169000,166000,19551,-482.0,4845.0
2019.09.11,165500,500,166000,167000,164500,21775,720.0,-177.0
2019.09.10,165000,-1000,164500,167000,164500,14174,-2877.0,561.0
2019.09.09,166000,-3000,169000,169500,165000,20742,-6446.0,1574.0
2019.09.06,169000,500,168500,169000,167000,21889,1469.0,-668.0
2019.09.05,168500,-2500,170500,171000,167500,32913,-2368.0,-5459.0
2019.09.04,171000,4000,166000,173500,165000,66519,-6658.0,6886.0
2019.09.03,167000,-3000,171000,172000,166000,36834,-811.0,258.0
2019.09.02,170000,2500,170000,173500,169000,41204,7925.0,-4470.0
