0,close,diff,open,high,low,volume,agency,foreign
2020.01.09,42850.0,2100.0,41750.0,43100.0,41550.0,599891.0,90141.0,24998.0
2020.01.08,40750.0,-950.0,41150.0,41500.0,40550.0,378881.0,-54042.0,89072.0
2020.01.07,41700.0,-150.0,42200.0,42550.0,41700.0,271418.0,-39965.0,12575.0
2020.01.06,41850.0,100.0,41000.0,42000.0,40800.0,296900.0,-90438.0,71132.0
2020.01.03,41750.0,-1250.0,43200.0,43250.0,41700.0,425663.0,-61805.0,-27457.0
2020.01.02,43000.0,250.0,43500.0,43650.0,42600.0,321068.0,-25701.0,4466.0
2019.12.30,42750.0,1050.0,41900.0,43650.0,41900.0,555607.0,-6136.0,38138.0
2019.12.27,41700.0,1450.0,41000.0,41800.0,40550.0,499407.0,22583.0,83569.0
2019.12.26,40250.0,800.0,39600.0,40250.0,39350.0,203945.0,59708.0,2060.0
2019.12.24,39450.0,200.0,39350.0,39600.0,39000.0,194430.0,18144.0,25939.0
2019.12.23,39250.0,-400.0,39650.0,39900.0,39000.0,166186.0,-362.0,5567.0
2019.12.20,39650.0,200.0,39650.0,39900.0,39000.0,173108.0,14795.0,28666.0
2019.12.19,39450.0,-350.0,39750.0,39950.0,39350.0,161199.0,3462.0,9098.0
2019.12.18,39800.0,-750.0,40500.0,40500.0,38850.0,454432.0,-3828.0,10348.0
2019.12.17,40550.0,900.0,39850.0,40700.0,39650.0,379288.0,63264.0,115615.0
2019.12.16,39650.0,-150.0,40100.0,40100.0,39500.0,196970.0,-16950.0,25597.0
2019.12.13,39800.0,700.0,39600.0,40050.0,39300.0,404568.0,48000.0,100689.0
2019.12.12,39100.0,300.0,38850.0,39300.0,38800.0,276808.0,-25395.0,85359.0
2019.12.11,38800.0,800.0,37850.0,39000.0,37850.0,248543.0,13985.0,89144.0
2019.12.10,38000.0,100.0,38500.0,38500.0,37600.0,118831.0,-4002.0,19692.0
2019.12.09,37900.0,100.0,38100.0,38700.0,37650.0,228307.0,-8115.0,21971.0
2019.12.06,37800.0,900.0,36900.0,38050.0,36900.0,330680.0,-31800.0,113253.0
2019.12.05,36900.0,50.0,37050.0,37550.0,35900.0,452303.0,-96930.0,25208.0
2019.12.04,36850.0,-2750.0,39200.0,39350.0,36450.0,727280.0,-158149.0,-130948.0
2019.12.03,39600.0,-450.0,39650.0,39750.0,39100.0,211774.0,-50054.0,12261.0
2019.12.02,40050.0,750.0,39500.0,40400.0,39350.0,234228.0,41698.0,11502.0
2019.11.29,39300.0,-200.0,39750.0,39950.0,39100.0,132306.0,-9476.0,9386.0
2019.11.28,39500.0,-300.0,39200.0,40050.0,39150.0,143123.0,6187.0,564.0
2019.11.27,39800.0,-250.0,40050.0,40400.0,39300.0,231281.0,20553.0,-2808.0
2019.11.26,40050.0,650.0,39500.0,40200.0,39050.0,280998.0,34592.0,-3125.0
2019.11.25,39400.0,900.0,38900.0,39450.0,38550.0,200201.0,48662.0,-17339.0
2019.11.22,38500.0,250.0,38250.0,39450.0,37950.0,350343.0,32404.0,-25511.0
2019.11.21,38250.0,-350.0,39100.0,39500.0,38000.0,318601.0,-41146.0,-28648.0
2019.11.20,38600.0,-1200.0,39800.0,40450.0,38600.0,335316.0,30812.0,-82479.0
2019.11.19,39800.0,1550.0,38300.0,39950.0,38200.0,425398.0,64983.0,49736.0
2019.11.18,38250.0,-450.0,39050.0,39050.0,37850.0,438137.0,-68150.0,-61611.0
2019.11.15,38700.0,-1250.0,39750.0,39850.0,37800.0,816815.0,-40673.0,-90729.0
2019.11.14,39950.0,-200.0,40400.0,40800.0,39750.0,372605.0,-17583.0,35024.0
2019.11.13,40150.0,-400.0,40800.0,41100.0,39750.0,304676.0,-26507.0,-37470.0
2019.11.12,40550.0,-1000.0,41650.0,41950.0,40250.0,422848.0,-54555.0,3839.0
2019.11.11,41550.0,350.0,41150.0,42200.0,40850.0,553849.0,208085.0,-82389.0
2019.11.08,41200.0,2550.0,38950.0,41250.0,38950.0,902548.0,147058.0,223369.0
2019.11.07,38650.0,-850.0,39450.0,39700.0,38500.0,261681.0,19926.0,22964.0
2019.11.06,39500.0,-400.0,40250.0,40250.0,39250.0,230052.0,42209.0,-24613.0
2019.11.05,39900.0,300.0,39750.0,40700.0,39600.0,401436.0,59108.0,10618.0
2019.11.04,39600.0,550.0,39300.0,39750.0,38950.0,229667.0,66859.0,-17320.0
2019.11.01,39050.0,-250.0,39700.0,39700.0,38950.0,225842.0,52067.0,-63381.0
2019.10.31,39300.0,1000.0,38650.0,39650.0,38000.0,455467.0,111523.0,4388.0
