,close,diff,open,high,low,volume,agency,foreign
2020.01.09,4010.0,45.0,4020.0,4020.0,3975.0,51315.0,-1510.0,-17692.0
2020.01.08,3965.0,-55.0,4005.0,4040.0,3940.0,86995.0,9674.0,-12479.0
2020.01.07,4020.0,-20.0,4005.0,4040.0,4005.0,57297.0,-1582.0,-31053.0
2020.01.06,4040.0,45.0,3995.0,4045.0,3965.0,129032.0,24992.0,4127.0
2020.01.03,3995.0,-45.0,4025.0,4060.0,3990.0,159558.0,-12600.0,-95302.0
2020.01.02,4040.0,-45.0,4085.0,4085.0,4015.0,76609.0,-12109.0,-10008.0
2019.12.30,4085.0,15.0,4070.0,4085.0,4045.0,43244.0,8890.0,-18727.0
2019.12.27,4070.0,-150.0,4125.0,4140.0,4045.0,127931.0,-3037.0,-56517.0
2019.12.26,4220.0,0.0,4225.0,4305.0,4215.0,215203.0,-17227.0,-21326.0
2019.12.24,4220.0,45.0,4175.0,4220.0,4160.0,104681.0,21057.0,1878.0
2019.12.23,4175.0,5.0,4170.0,4205.0,4140.0,60929.0,2125.0,-1817.0
2019.12.20,4170.0,40.0,4130.0,4180.0,4125.0,84502.0,15968.0,-12383.0
2019.12.19,4130.0,-15.0,4140.0,4165.0,4120.0,56592.0,9318.0,-8954.0
2019.12.18,4145.0,-25.0,4130.0,4190.0,4130.0,57916.0,-19259.0,7248.0
2019.12.17,4170.0,-10.0,4180.0,4210.0,4125.0,87840.0,-17484.0,-22374.0
2019.12.16,4180.0,0.0,4180.0,4195.0,4130.0,111547.0,-27871.0,7087.0
2019.12.13,4180.0,5.0,4155.0,4180.0,4130.0,85873.0,-26243.0,5948.0
2019.12.12,4175.0,95.0,4065.0,4175.0,4065.0,60392.0,24322.0,-6726.0
2019.12.11,4080.0,-45.0,4090.0,4150.0,4080.0,33235.0,-2318.0,-16049.0
2019.12.10,4125.0,25.0,4100.0,4150.0,4085.0,54178.0,947.0,694.0
2019.12.09,4100.0,35.0,4090.0,4125.0,4060.0,33674.0,-1460.0,-3318.0
2019.12.06,4065.0,-20.0,4050.0,4125.0,4045.0,61742.0,31006.0,-21390.0
2019.12.05,4085.0,35.0,4000.0,4100.0,4000.0,62134.0,10572.0,-4648.0
2019.12.04,4050.0,35.0,4005.0,4070.0,3990.0,52891.0,489.0,-6712.0
2019.12.03,4015.0,-20.0,4030.0,4065.0,3950.0,77384.0,-10541.0,-4980.0
2019.12.02,4035.0,-20.0,4065.0,4075.0,3980.0,92466.0,-7131.0,-4914.0
2019.11.29,4055.0,-45.0,4100.0,4100.0,4025.0,64665.0,-4510.0,-31183.0
2019.11.28,4100.0,15.0,4085.0,4145.0,4070.0,37615.0,-9361.0,-4534.0
2019.11.27,4085.0,-20.0,4120.0,4130.0,4075.0,53505.0,-67.0,-24928.0
