0,close,diff,open,high,low,volume,agency,foreign
2020.01.09,48150,1550,47750,48650,47400,275188,13900.0,18624.0
2020.01.08,46600,-1500,47650,47850,46100,307728,-5098.0,-54830.0
2020.01.07,48100,2500,46350,48200,46000,393563,4984.0,159495.0
2020.01.06,45600,-1900,46700,47300,45450,267095,-12454.0,-87873.0
2020.01.03,47500,-1000,48850,49050,47450,269112,-36640.0,-83855.0
2020.01.02,48500,1250,47450,48600,46850,232506,5493.0,9239.0
2019.12.30,47250,250,47000,47800,46750,111420,8643.0,-11680.0
2019.12.27,47000,300,46700,47300,46200,134984,-3527.0,10693.0
2019.12.26,46700,150,46950,47250,46350,119864,-2030.0,-20649.0
2019.12.24,46550,-600,47400,47400,46500,92655,2061.0,-17309.0
2019.12.23,47150,-550,48000,48000,47150,141877,2310.0,-33311.0
2019.12.20,47700,1150,46650,47700,46650,172920,6058.0,45824.0
2019.12.19,46550,300,46350,46550,45850,100233,-1673.0,12453.0
2019.12.18,46250,0,46450,46950,46050,113205,13967.0,-17921.0
2019.12.17,46250,-350,46550,46550,46250,121775,618.0,-25349.0
2019.12.16,46600,-850,47500,47600,46450,153047,15791.0,-58097.0
2019.12.13,47450,1200,46800,48350,46700,295483,38604.0,20922.0
2019.12.12,46250,200,46300,47100,46200,131220,4287.0,18063.0
2019.12.11,46050,550,45900,46200,45300,72292,525.0,9774.0
2019.12.10,45500,650,45100,45750,44950,62695,5567.0,27502.0
2019.12.09,44850,-1100,46000,46000,44800,136195,-18700.0,9290.0
2019.12.06,45950,-350,45700,46700,45700,98290,1028.0,-2525.0
2019.12.05,46300,-900,47150,47650,45500,147614,12249.0,-27059.0
2019.12.04,47200,150,46600,47350,46300,111286,20632.0,8978.0
2019.12.03,47050,-200,47000,47100,45900,97340,11672.0,3280.0
2019.12.02,47250,-100,47400,47850,46900,156358,25736.0,-6925.0
2019.11.29,47350,650,47600,48400,47000,510815,70782.0,-18871.0
2019.11.28,46700,100,46300,46950,46050,98818,9221.0,20019.0
2019.11.27,46600,-250,47150,47600,46250,166134,13661.0,-17275.0
2019.11.26,46850,600,46500,47150,45450,194463,25105.0,13710.0
2019.11.25,46250,2800,44150,46250,44100,237637,44188.0,42909.0
2019.11.22,43450,300,42950,44500,42950,78436,1587.0,-134.0
2019.11.21,43150,-800,43950,44300,43050,132873,3608.0,-3235.0
2019.11.20,43950,-1050,44900,44950,43650,174784,-20560.0,-15144.0
2019.11.19,45000,-800,45800,45850,44950,104468,-12221.0,-15899.0
2019.11.18,45800,-350,46350,46350,45300,96090,6133.0,-9256.0
2019.11.15,46150,700,44950,46300,44350,208024,-148.0,27019.0
2019.11.14,45450,-700,46150,46500,45000,186757,-22947.0,-5020.0
2019.11.13,46150,-650,46950,46950,46050,88362,-11950.0,-11128.0
2019.11.12,46800,100,46550,47300,46350,96152,-471.0,-10037.0
2019.11.11,46700,-650,47550,47750,46150,136950,-7601.0,-3984.0
2019.11.08,47350,-850,48800,49000,46900,237182,-18267.0,-10523.0
2019.11.07,48200,-400,48500,48850,48000,133541,-11806.0,-874.0
2019.11.06,48600,850,47750,49300,47500,289641,20089.0,-1366.0
2019.11.05,47750,200,47600,48100,47100,183510,-12036.0,-8327.0
2019.11.04,47550,700,47350,48100,46350,212546,14293.0,-22969.0
2019.11.01,46850,-1300,48500,49450,46700,457182,-12560.0,-151044.0
2019.10.31,48150,1100,47550,49650,46600,778054,99373.0,-77980.0
2019.10.30,47050,2000,45500,47550,44500,429739,82929.0,-21714.0
2019.10.29,45050,750,44700,45500,44600,181668,28959.0,-2756.0
2019.10.28,44300,-100,44800,44950,44100,100728,4794.0,-3462.0
2019.10.25,44400,-150,44550,44850,44000,75443,3233.0,11585.0
2019.10.24,44550,-50,44550,44600,43400,145519,-8022.0,2113.0
2019.10.23,44600,-500,45100,45100,44350,113077,3582.0,-8231.0
2019.10.22,45100,1050,44150,45200,44150,186294,1570.0,53771.0
2019.10.21,44050,-950,45000,45350,43900,153997,-17188.0,8963.0
2019.10.18,45000,100,45300,45300,44300,167446,33905.0,-11891.0
2019.10.17,44900,750,44150,45600,44150,250312,48653.0,-12186.0
2019.10.16,44150,-50,44350,44350,43650,178105,39763.0,-47472.0
2019.10.15,44200,1450,42750,44500,42650,301885,49894.0,-7360.0
2019.10.14,42750,1350,41600,42850,41600,195863,49469.0,3878.0
2019.10.11,41400,-450,41850,42200,41250,110353,-8050.0,-332.0
2019.10.10,41850,250,41300,42500,41300,186346,12943.0,-10421.0
2019.10.08,41600,1100,40100,42250,40050,204196,-13873.0,45932.0
2019.10.07,40500,1250,39300,40700,39300,243933,7389.0,80621.0
2019.10.04,39250,-2300,41350,41350,39100,505181,-60617.0,-154062.0
2019.10.02,41550,-1000,42100,42200,41550,210509,-44659.0,-43527.0
2019.10.01,42550,350,41900,42900,41900,175933,4568.0,-6474.0
2019.09.30,42200,-1000,43200,43400,42000,199505,-25805.0,-33690.0
2019.09.27,43200,-50,43500,44100,43100,145457,-20851.0,-19479.0
2019.09.26,43250,-100,43750,44100,42950,113359,-12912.0,-17806.0
2019.09.25,43350,-1000,44450,44550,43300,203272,5090.0,-56737.0
2019.09.24,44350,100,44200,44550,44200,118225,11024.0,-26657.0
2019.09.23,44250,-400,44550,44700,44150,98413,-19007.0,-9394.0
2019.09.20,44650,100,44550,44750,44100,114724,-6975.0,-10360.0
2019.09.19,44550,-350,44900,45100,44500,139369,-8620.0,-25113.0
2019.09.18,44900,-250,45200,45250,44800,146504,-6120.0,-15351.0
2019.09.17,45150,400,44800,45750,44500,263947,6909.0,-57671.0
2019.09.16,44750,750,44250,44750,44250,260800,16638.0,1784.0
2019.09.11,44000,-500,44500,44600,43900,328582,-13233.0,-68538.0
2019.09.10,44500,350,44400,44600,43950,151529,1159.0,-8842.0
2019.09.09,44150,-600,44800,45100,44100,168844,-4908.0,-22026.0
2019.09.06,44750,-750,45600,45800,44650,195065,-24476.0,-25683.0
2019.09.05,45500,1050,44800,46300,44700,514383,19460.0,-35212.0
2019.09.04,44450,-50,44150,44550,44050,227786,15541.0,-35937.0
2019.09.03,44500,1000,43300,44550,43300,351059,63998.0,-20143.0
2019.09.02,43500,100,43450,43800,43300,117525,2592.0,-20225.0
2019.08.30,43400,550,43400,43650,43050,241504,-11344.0,-37588.0
2019.08.29,42850,700,42400,43350,42350,308915,17074.0,-25016.0
2019.08.28,42150,150,42000,42200,41600,206370,-29815.0,14468.0
2019.08.27,42000,-100,42450,42850,41950,206971,-28185.0,-1603.0
2019.08.26,42100,-1450,42550,42550,41700,271050,-16402.0,35374.0
2019.08.23,43550,-750,43700,44000,43400,270670,-24900.0,-21324.0
2019.08.22,44300,-100,44650,45050,44250,359046,-27715.0,-63420.0
2019.08.21,44400,-500,44800,45000,44100,291831,-39379.0,-97203.0
2019.08.20,44900,900,44350,45100,44200,362444,-25066.0,-41163.0
2019.08.19,44000,-50,44650,44700,43650,305258,-28090.0,-66753.0
2019.08.16,44050,500,43900,45450,43600,583257,-41860.0,11758.0
2019.08.14,43550,-2950,46850,47200,43350,1061414,-131215.0,-179856.0
2019.08.13,46500,-400,46500,48300,46250,470894,-110453.0,-26122.0
2019.08.12,46900,-850,46800,47550,45850,687962,-41572.0,-109389.0
2019.08.09,47750,-2450,49000,49700,47100,627663,-140708.0,2045.0
2019.08.08,50200,2050,48850,51300,48100,211229,28100.0,21161.0
2019.08.07,48150,-1650,49200,50400,47700,126085,-18218.0,-7570.0
2019.08.06,49800,-200,49000,50800,47350,153346,306.0,43283.0
2019.08.05,50000,-2600,50700,52000,49600,164166,847.0,28619.0
2019.08.02,52600,-1500,53100,53900,52600,104433,-18685.0,-2177.0
2019.08.01,54100,-1300,55100,55100,53800,74571,-17966.0,12537.0
2019.07.31,55400,500,54100,55700,54100,87250,4275.0,3693.0
2019.07.30,54900,0,54600,55300,54400,47168,-1559.0,-2686.0
2019.07.29,54900,-1400,55800,56900,54600,75068,1401.0,412.0
2019.07.26,56300,100,56000,57500,55600,88990,5968.0,-17.0
2019.07.25,56200,200,55600,56300,53800,114414,-27614.0,14923.0
2019.07.24,56000,-700,56300,56900,55900,43772,-18721.0,8577.0
2019.07.23,56700,300,56400,56800,56000,48829,-5364.0,11603.0
2019.07.22,56400,-400,56100,56600,55600,69312,-10587.0,-8.0
2019.07.19,56800,1100,57500,57500,56000,56565,2457.0,4914.0
2019.07.18,55700,-1100,56300,56700,55600,87512,-18519.0,-4906.0
2019.07.17,56800,-1200,57700,57800,56300,61659,-16542.0,-12686.0
2019.07.16,58000,2000,56200,58300,56000,126564,12364.0,28702.0
2019.07.15,56000,-1800,59000,59000,56000,142267,-22549.0,-46362.0
2019.07.12,57800,-400,58300,58700,57600,69022,-19941.0,-4811.0
2019.07.11,58200,400,57200,59000,57200,93004,2984.0,3015.0
2019.07.10,57800,-200,57200,58700,57200,70607,-1366.0,-7284.0
2019.07.09,58000,-1100,58600,59400,58000,62547,4394.0,-15452.0
2019.07.08,59100,-1800,60900,61100,59000,65739,-14089.0,2379.0
2019.07.05,60900,1000,60000,61800,59700,89437,-84.0,7646.0
2019.07.04,59900,100,59600,60200,58400,88240,-3130.0,-9789.0
2019.07.03,59800,-600,61200,61200,59700,58522,-17797.0,-5847.0
2019.07.02,60400,-600,60700,61500,60400,68075,-9482.0,-13522.0
2019.07.01,61000,600,60800,62200,60800,74183,-1407.0,6005.0
2019.06.28,60400,-200,60300,60800,59400,108270,3213.0,-10529.0
2019.06.27,60600,-600,61200,61300,60100,146220,-22262.0,-23139.0
2019.06.26,61200,-1000,62200,62500,61000,122311,-34182.0,-17656.0
2019.06.25,62200,300,62300,63300,62100,92209,9318.0,9205.0
2019.06.24,61900,-300,62200,62700,61700,84319,-19193.0,-973.0
2019.06.21,62200,-900,63400,63500,61800,146397,-69516.0,-1148.0
2019.06.20,63100,-100,63500,63700,62900,65926,-21605.0,353.0
2019.06.19,63200,900,63000,63900,62600,113283,-7447.0,33925.0
2019.06.18,62300,300,61900,62500,61800,72171,-1992.0,3938.0
2019.06.17,62000,-2000,64000,64000,61700,174024,-66945.0,-9713.0
2019.06.14,64000,-700,64700,64700,63600,75568,-11519.0,-6295.0
2019.06.13,64700,300,65200,65400,63600,132869,-18729.0,-21940.0
2019.06.12,64400,400,63900,65200,63500,102181,29882.0,-39389.0
2019.06.11,64000,0,64100,64100,63400,76690,-12034.0,-17407.0
2019.06.10,64000,500,63900,64100,63100,111616,-9508.0,6860.0
2019.06.07,63500,1000,63100,63700,62700,81304,-3872.0,17568.0
2019.06.05,62500,-100,63500,63500,62200,69192,-19430.0,-3707.0
2019.06.04,62600,-500,63600,63700,62400,77634,-22145.0,-7841.0
2019.06.03,63100,-200,62800,63900,62600,57330,-1305.0,-9781.0
