,close,diff,open,high,low,volume,agency,foreign
2020.01.09,4085.0,-40.0,4125.0,4125.0,4030.0,139674.0,-499.0,9634.0
2020.01.08,4125.0,-45.0,4170.0,4170.0,4000.0,129800.0,24080.0,-6989.0
2020.01.07,4170.0,185.0,3980.0,4175.0,3980.0,101018.0,12622.0,18161.0
2020.01.06,3985.0,-100.0,3990.0,4080.0,3965.0,110539.0,0.0,16927.0
2020.01.03,4085.0,-55.0,4180.0,4180.0,4065.0,94169.0,1.0,12504.0
2020.01.02,4140.0,-10.0,4175.0,4180.0,4110.0,74713.0,17.0,1407.0
2019.12.30,4150.0,25.0,4170.0,4205.0,4050.0,104999.0,-1.0,18100.0
2019.12.27,4125.0,5.0,4050.0,4205.0,4050.0,133638.0,-1.0,49216.0
2019.12.26,4120.0,5.0,4040.0,4145.0,3990.0,196991.0,1.0,55788.0
2019.12.24,4115.0,30.0,4085.0,4150.0,3980.0,153740.0,10.0,53277.0
2019.12.23,4085.0,-45.0,4130.0,4130.0,4020.0,59062.0,2956.0,-2375.0
2019.12.20,4130.0,0.0,4170.0,4170.0,4015.0,117172.0,7.0,-17257.0
2019.12.19,4130.0,50.0,4125.0,4135.0,4000.0,96975.0,-1.0,-9462.0
2019.12.18,4080.0,30.0,4095.0,4105.0,3985.0,100018.0,-1.0,663.0
2019.12.17,4050.0,-130.0,4180.0,4205.0,4020.0,135256.0,-2.0,-2715.0
2019.12.16,4180.0,-80.0,4260.0,4270.0,4150.0,92441.0,-195.0,-8261.0
2019.12.13,4260.0,-35.0,4250.0,4360.0,4225.0,256428.0,-42051.0,-5543.0
2019.12.12,4295.0,75.0,4220.0,4295.0,4105.0,167630.0,20270.0,-5039.0
2019.12.11,4220.0,25.0,4195.0,4285.0,4090.0,155679.0,-1366.0,-8323.0
2019.12.10,4195.0,95.0,4040.0,4200.0,3985.0,336186.0,1.0,49548.0
2019.12.09,4100.0,-10.0,4110.0,4125.0,3970.0,158849.0,0.0,-17869.0
2019.12.06,4110.0,85.0,3965.0,4110.0,3880.0,231306.0,-8619.0,17414.0
2019.12.05,4025.0,-165.0,4055.0,4095.0,4000.0,172808.0,-11394.0,-24371.0
2019.12.04,4190.0,-10.0,4200.0,4205.0,4035.0,155266.0,-8625.0,23428.0
2019.12.03,4200.0,25.0,4135.0,4200.0,3995.0,244681.0,-8627.0,-54305.0
2019.12.02,4175.0,95.0,4085.0,4260.0,3985.0,430481.0,0.0,73842.0
2019.11.29,4080.0,-135.0,4180.0,4180.0,3985.0,461423.0,-17252.0,6364.0
2019.11.28,4215.0,-285.0,4435.0,4450.0,3995.0,969219.0,-31548.0,-98850.0
2019.11.27,4500.0,-185.0,4700.0,4700.0,4495.0,510197.0,-200470.0,224513.0
2019.11.26,4685.0,-70.0,4765.0,4885.0,4565.0,213632.0,2769.0,12296.0
2019.11.25,4755.0,25.0,4790.0,4830.0,4485.0,364945.0,23862.0,19658.0
