,close,diff,open,high,low,volume,agency,foreign
2020.01.09,31000.0,450.0,30650.0,31250.0,30550.0,75108.0,2831.0,-14004.0
2020.01.08,30550.0,-1300.0,31450.0,31450.0,30400.0,98802.0,21764.0,-38663.0
2020.01.07,31850.0,550.0,31450.0,32250.0,31450.0,45766.0,1907.0,3045.0
2020.01.06,31300.0,-300.0,31300.0,31600.0,30750.0,44260.0,8533.0,593.0
2020.01.03,31600.0,300.0,31550.0,31750.0,31100.0,52807.0,8098.0,65.0
2020.01.02,31300.0,-250.0,31550.0,31600.0,30850.0,36187.0,-4672.0,-3625.0
2019.12.30,31550.0,800.0,30750.0,31700.0,30750.0,39405.0,1106.0,14377.0
2019.12.27,30750.0,-450.0,30850.0,30950.0,30500.0,95283.0,22042.0,-43768.0
2019.12.26,31200.0,550.0,30650.0,31450.0,30600.0,58213.0,41077.0,-20368.0
2019.12.24,30650.0,-250.0,30700.0,31000.0,30450.0,28216.0,2796.0,-2854.0
2019.12.23,30900.0,-50.0,31200.0,31200.0,30800.0,20371.0,6157.0,-1341.0
2019.12.20,30950.0,300.0,30900.0,30950.0,30650.0,28557.0,62.0,8807.0
2019.12.19,30650.0,350.0,30200.0,30750.0,30200.0,36686.0,9644.0,-5871.0
2019.12.18,30300.0,-300.0,30650.0,30800.0,30200.0,55862.0,8379.0,-28956.0
2019.12.17,30600.0,-900.0,31300.0,31350.0,30550.0,84899.0,8384.0,-43151.0
2019.12.16,31500.0,0.0,31550.0,31750.0,31150.0,42607.0,22911.0,-24667.0
2019.12.13,31500.0,-450.0,31800.0,32100.0,31200.0,56007.0,14053.0,-26551.0
2019.12.12,31950.0,100.0,31900.0,32050.0,31650.0,83774.0,19027.0,-14992.0
2019.12.11,31850.0,900.0,31200.0,32000.0,30850.0,57418.0,11301.0,1156.0
2019.12.10,30950.0,400.0,30300.0,31050.0,30300.0,36616.0,-4808.0,8128.0
2019.12.09,30550.0,-400.0,30900.0,31050.0,30200.0,63231.0,-13735.0,9668.0
2019.12.06,30950.0,150.0,30900.0,31500.0,30800.0,50674.0,-13028.0,14855.0
2019.12.05,30800.0,550.0,30250.0,30850.0,30150.0,43569.0,-11673.0,15224.0
2019.12.04,30250.0,-600.0,30600.0,30800.0,30050.0,44923.0,-1799.0,-6657.0
2019.12.03,30850.0,-500.0,31350.0,31350.0,30650.0,53390.0,899.0,-2071.0
2019.12.02,31350.0,-350.0,31600.0,31700.0,31050.0,63074.0,-876.0,270.0
2019.11.29,31700.0,-250.0,32200.0,32350.0,31600.0,78570.0,3332.0,-21.0
2019.11.28,31950.0,-500.0,32250.0,32300.0,31700.0,58120.0,16289.0,-25484.0
2019.11.27,32450.0,700.0,32300.0,32550.0,31500.0,77867.0,34846.0,-19526.0
2019.11.26,31750.0,0.0,31750.0,32100.0,31300.0,63391.0,18318.0,-18071.0
2019.11.25,31750.0,50.0,31700.0,31850.0,31050.0,71909.0,28541.0,-22884.0
2019.11.22,31700.0,500.0,31200.0,31850.0,31000.0,43522.0,7975.0,-4519.0
2019.11.21,31200.0,200.0,31000.0,31700.0,30700.0,71709.0,19992.0,-2909.0
2019.11.20,31000.0,-650.0,31400.0,31650.0,30750.0,62174.0,-16160.0,8019.0
2019.11.19,31650.0,-100.0,31500.0,31850.0,31100.0,53478.0,-16297.0,11409.0
2019.11.18,31750.0,-600.0,32350.0,32450.0,31400.0,55583.0,-17714.0,7362.0
2019.11.15,32350.0,500.0,31850.0,32750.0,31850.0,64197.0,-631.0,3196.0
2019.11.14,31850.0,-800.0,33100.0,33100.0,31700.0,84837.0,7033.0,-1341.0
2019.11.13,32650.0,-1000.0,33600.0,33600.0,32450.0,112850.0,3014.0,-2632.0
2019.11.12,33650.0,900.0,32650.0,34100.0,32450.0,159921.0,26228.0,-7693.0
2019.11.11,32750.0,1250.0,33000.0,34650.0,32100.0,258442.0,44897.0,1276.0
2019.11.08,31500.0,350.0,31150.0,31750.0,30450.0,114090.0,7092.0,-39549.0
2019.11.07,31150.0,-300.0,31250.0,31800.0,30900.0,84911.0,-17754.0,2861.0
2019.11.06,31450.0,1850.0,29550.0,31950.0,29550.0,181037.0,7001.0,54424.0
2019.11.05,29600.0,50.0,29800.0,29850.0,29400.0,45494.0,-6412.0,13399.0
2019.11.04,29550.0,450.0,29300.0,29750.0,29200.0,45597.0,-10277.0,10146.0
2019.11.01,29100.0,-100.0,29200.0,29300.0,28850.0,28385.0,-11094.0,4359.0
2019.10.31,29200.0,-50.0,29250.0,29550.0,29050.0,50362.0,-15499.0,14479.0
2019.10.30,29250.0,-550.0,29850.0,30050.0,28850.0,53763.0,-8537.0,-6417.0
2019.10.29,29800.0,200.0,29800.0,30000.0,29450.0,43217.0,8520.0,-5787.0
2019.10.28,29600.0,-200.0,30000.0,30350.0,29500.0,60352.0,-1032.0,-2516.0
2019.10.25,29800.0,0.0,29800.0,29950.0,29450.0,32710.0,14061.0,-11813.0
2019.10.24,29800.0,400.0,29200.0,29800.0,28950.0,51983.0,-4004.0,10342.0
2019.10.23,29400.0,-350.0,29600.0,30100.0,29150.0,45182.0,-8003.0,-3504.0
2019.10.22,29750.0,150.0,29600.0,30350.0,29600.0,57268.0,-497.0,3938.0
2019.10.21,29600.0,-250.0,29850.0,30100.0,29000.0,60864.0,-1388.0,-8685.0
2019.10.18,29850.0,-400.0,30600.0,30800.0,29850.0,68076.0,11051.0,-11608.0
2019.10.17,30250.0,1050.0,29400.0,30700.0,29400.0,162155.0,24738.0,41210.0
2019.10.16,29200.0,300.0,29350.0,29650.0,28900.0,89025.0,-16766.0,3807.0
2019.10.15,28900.0,-150.0,28900.0,29350.0,28550.0,80699.0,-12911.0,-5002.0
2019.10.14,29050.0,700.0,28450.0,29250.0,28450.0,65233.0,-13750.0,14033.0
2019.10.11,28350.0,50.0,28700.0,28800.0,28150.0,43065.0,-15361.0,7449.0
2019.10.10,28300.0,-1250.0,29050.0,29450.0,28300.0,77652.0,-10218.0,-13273.0
2019.10.08,29550.0,1500.0,28200.0,29600.0,28050.0,108936.0,17062.0,16579.0
2019.10.07,28050.0,350.0,27750.0,28550.0,27650.0,49770.0,-14932.0,23603.0
2019.10.04,27700.0,-1000.0,28400.0,28450.0,27350.0,111366.0,2332.0,-13572.0
2019.10.02,28700.0,-850.0,29250.0,29450.0,28700.0,62506.0,-16234.0,-24088.0
2019.10.01,29550.0,350.0,29300.0,29700.0,29100.0,32417.0,-3986.0,9793.0
2019.09.30,29200.0,-50.0,29100.0,29400.0,28750.0,34667.0,3237.0,-3527.0
2019.09.27,29250.0,-50.0,29550.0,29550.0,29000.0,27064.0,-57.0,-1879.0
2019.09.26,29300.0,50.0,29250.0,29800.0,29000.0,50244.0,-10058.0,1450.0
2019.09.25,29250.0,-500.0,29500.0,29950.0,29250.0,63599.0,-17473.0,7595.0
2019.09.24,29750.0,-750.0,30700.0,30700.0,29650.0,102769.0,-44732.0,-2621.0
2019.09.23,30500.0,-100.0,30650.0,30950.0,30350.0,46181.0,-24890.0,17584.0
2019.09.20,30600.0,150.0,30450.0,30650.0,30200.0,49015.0,-3101.0,-6540.0
2019.09.19,30450.0,100.0,30350.0,30700.0,30350.0,31753.0,-4939.0,-5136.0
2019.09.18,30350.0,-350.0,30800.0,30900.0,30200.0,49582.0,-2224.0,-16886.0
2019.09.17,30700.0,650.0,30050.0,30850.0,30050.0,52485.0,829.0,5591.0
2019.09.16,30050.0,50.0,30450.0,31050.0,30050.0,75493.0,-14061.0,8906.0
2019.09.11,30000.0,0.0,30100.0,30350.0,29900.0,89404.0,1840.0,-4089.0
2019.09.10,30000.0,450.0,29550.0,30000.0,29350.0,51666.0,3544.0,-1849.0
