,close,diff,open,high,low,volume,agency,foreign
2020.01.09,21600.0,900.0,20700.0,21700.0,20700.0,93069.0,16491.0,11704.0
2020.01.08,20700.0,-200.0,20850.0,20950.0,20300.0,33559.0,6810.0,9610.0
2020.01.07,20900.0,500.0,20500.0,21000.0,20250.0,26525.0,-7604.0,16142.0
2020.01.06,20400.0,-400.0,20800.0,20800.0,20400.0,20934.0,899.0,3875.0
2020.01.03,20800.0,100.0,20750.0,20850.0,20600.0,20379.0,-3184.0,6516.0
2020.01.02,20700.0,-200.0,20900.0,21200.0,20600.0,18588.0,-3929.0,3572.0
2019.12.30,20900.0,200.0,20700.0,21150.0,20600.0,33432.0,-4065.0,5108.0
2019.12.27,20700.0,400.0,20300.0,20750.0,20250.0,40408.0,-8265.0,10291.0
2019.12.26,20300.0,-150.0,20600.0,20600.0,20250.0,19096.0,4808.0,2064.0
2019.12.24,20450.0,250.0,20200.0,20550.0,20000.0,28784.0,-3236.0,7289.0
2019.12.23,20200.0,100.0,20150.0,20300.0,19900.0,30632.0,-7350.0,13441.0
2019.12.20,20100.0,-300.0,20300.0,20350.0,20050.0,26635.0,-2753.0,8480.0
2019.12.19,20400.0,100.0,20150.0,20400.0,19950.0,37732.0,-7213.0,7718.0
2019.12.18,20300.0,-150.0,20400.0,20500.0,20200.0,35306.0,-15824.0,7620.0
2019.12.17,20450.0,400.0,20100.0,20450.0,19950.0,12816.0,393.0,5042.0
2019.12.16,20050.0,-250.0,20350.0,20500.0,19800.0,73723.0,-55745.0,59103.0
2019.12.13,20300.0,350.0,19950.0,20300.0,19900.0,71347.0,-17131.0,43761.0
2019.12.12,19950.0,250.0,19700.0,19950.0,19600.0,41112.0,-1938.0,14434.0
2019.12.11,19700.0,150.0,19650.0,20000.0,19550.0,43176.0,264.0,30963.0
2019.12.10,19550.0,-250.0,19700.0,19900.0,19550.0,23775.0,-12386.0,8637.0
2019.12.09,19800.0,200.0,19600.0,19950.0,19600.0,20978.0,-5864.0,9021.0
2019.12.06,19600.0,50.0,19600.0,19850.0,19500.0,17387.0,-9953.0,6245.0
2019.12.05,19550.0,-450.0,19850.0,20100.0,19550.0,39904.0,-13558.0,12150.0
2019.12.04,20000.0,-100.0,19850.0,20000.0,19650.0,46381.0,3639.0,2233.0
2019.12.03,20100.0,0.0,20100.0,20100.0,19650.0,96484.0,7439.0,-5087.0
2019.12.02,20100.0,-50.0,20250.0,20250.0,19750.0,34079.0,8.0,5815.0
2019.11.29,20150.0,200.0,20100.0,20300.0,19900.0,42275.0,-6163.0,15308.0
2019.11.28,19950.0,300.0,19750.0,20000.0,19750.0,15664.0,1639.0,4166.0
2019.11.27,19650.0,-250.0,19900.0,20050.0,19650.0,41365.0,-11698.0,14361.0
2019.11.26,19900.0,-200.0,20150.0,20150.0,19750.0,34179.0,-24727.0,17941.0
2019.11.25,20100.0,200.0,19900.0,20150.0,19700.0,38983.0,-14356.0,24914.0
2019.11.22,19900.0,0.0,20000.0,20000.0,19650.0,24797.0,7773.0,4669.0
2019.11.21,19900.0,-200.0,20100.0,20100.0,19850.0,27548.0,2323.0,9515.0
2019.11.20,20100.0,0.0,20150.0,20150.0,19800.0,56228.0,-16895.0,13141.0
2019.11.19,20100.0,-100.0,20100.0,20300.0,19900.0,37747.0,-3405.0,4641.0
2019.11.18,20200.0,200.0,20000.0,20200.0,19750.0,36682.0,-5214.0,5328.0
2019.11.15,20000.0,250.0,20100.0,20100.0,19750.0,40752.0,-7412.0,672.0
2019.11.14,19750.0,-250.0,20300.0,20300.0,19600.0,36435.0,8308.0,-1572.0
2019.11.13,20000.0,500.0,19450.0,20250.0,19400.0,92019.0,-243.0,866.0
2019.11.12,19500.0,550.0,19000.0,19500.0,18900.0,46653.0,12180.0,20453.0
2019.11.11,18950.0,150.0,18800.0,18950.0,18650.0,41640.0,-1631.0,7929.0
2019.11.08,18800.0,-50.0,18900.0,19000.0,18650.0,17748.0,351.0,771.0
2019.11.07,18850.0,-500.0,19400.0,19450.0,18600.0,128628.0,-18482.0,15154.0
2019.11.06,19350.0,-150.0,19500.0,19650.0,19150.0,38538.0,-13068.0,4907.0
2019.11.05,19500.0,-300.0,19700.0,19700.0,19400.0,13875.0,1182.0,-4656.0
2019.11.04,19800.0,550.0,19250.0,19800.0,19150.0,21329.0,-9448.0,7918.0
2019.11.01,19250.0,-150.0,19400.0,19450.0,19200.0,11903.0,-1446.0,688.0
2019.10.31,19400.0,-150.0,19550.0,19700.0,19100.0,34653.0,6240.0,-6265.0
2019.10.30,19550.0,400.0,19200.0,19750.0,19150.0,34501.0,3505.0,-3992.0
2019.10.29,19150.0,-450.0,19400.0,19550.0,19150.0,39459.0,-11717.0,-3999.0
2019.10.28,19600.0,350.0,19350.0,19650.0,19050.0,40900.0,-4688.0,-1795.0
2019.10.25,19250.0,450.0,19000.0,19300.0,18850.0,23787.0,2187.0,5063.0
2019.10.24,18800.0,-150.0,19050.0,19150.0,18750.0,32324.0,-5116.0,5541.0
2019.10.23,18950.0,-350.0,19350.0,19500.0,18950.0,30414.0,-15614.0,6768.0
2019.10.22,19300.0,-100.0,19500.0,19700.0,19100.0,40600.0,2234.0,-8764.0
2019.10.21,19400.0,450.0,18950.0,19400.0,18800.0,38386.0,-6548.0,16506.0
2019.10.18,18950.0,150.0,18900.0,19200.0,18800.0,31599.0,-1045.0,2952.0
2019.10.17,18800.0,-250.0,19050.0,19250.0,18800.0,31181.0,-4247.0,901.0
2019.10.16,19050.0,150.0,19050.0,19100.0,18800.0,21478.0,-4236.0,5394.0
2019.10.15,18900.0,-200.0,19100.0,19200.0,18900.0,25810.0,-2561.0,-1385.0
2019.10.14,19100.0,0.0,19100.0,19300.0,18800.0,25550.0,-5579.0,10455.0
2019.10.11,19100.0,-100.0,19200.0,19200.0,18850.0,44289.0,-7549.0,11245.0
2019.10.10,19200.0,250.0,19050.0,19300.0,18750.0,26717.0,727.0,5765.0
2019.10.08,18950.0,150.0,19000.0,19000.0,18700.0,19809.0,-8208.0,4464.0
2019.10.07,18800.0,50.0,18750.0,19050.0,18600.0,22277.0,-8047.0,11212.0
2019.10.04,18750.0,-300.0,18800.0,19050.0,18700.0,24342.0,1685.0,-8455.0
2019.10.02,19050.0,0.0,19000.0,19150.0,18800.0,22710.0,-542.0,-3695.0
2019.10.01,19050.0,-50.0,18950.0,19250.0,18900.0,27118.0,-1296.0,3167.0
2019.09.30,19100.0,-50.0,19150.0,19200.0,18850.0,50622.0,-7692.0,-2248.0
2019.09.27,19150.0,250.0,19000.0,19350.0,18900.0,36756.0,-11973.0,5391.0
2019.09.26,18900.0,150.0,18900.0,19250.0,18750.0,27712.0,-5726.0,2509.0
2019.09.25,18750.0,-150.0,18900.0,19050.0,18700.0,29543.0,-3033.0,899.0
2019.09.24,18900.0,50.0,18750.0,19050.0,18700.0,25333.0,5050.0,-875.0
2019.09.23,18850.0,-100.0,18950.0,19200.0,18850.0,55868.0,-7715.0,280.0
2019.09.20,18950.0,-100.0,19000.0,19200.0,18900.0,19291.0,-23.0,-4497.0
2019.09.19,19050.0,-50.0,18900.0,19250.0,18900.0,24015.0,2551.0,-3046.0
2019.09.18,19100.0,300.0,19000.0,19200.0,18800.0,27854.0,-1746.0,-10363.0
2019.09.17,18800.0,300.0,18600.0,19050.0,18550.0,63231.0,-7372.0,13365.0
2019.09.16,18500.0,-400.0,18850.0,19150.0,18500.0,81158.0,8630.0,-56459.0
2019.09.11,18900.0,0.0,18950.0,19200.0,18500.0,77455.0,9628.0,-12429.0
2019.09.10,18900.0,50.0,18900.0,19050.0,18850.0,13527.0,-1700.0,-1215.0
2019.09.09,18850.0,-200.0,19100.0,19100.0,18800.0,44046.0,-7075.0,-4918.0
2019.09.06,19050.0,50.0,19200.0,19300.0,18850.0,25855.0,1549.0,372.0
2019.09.05,19000.0,-300.0,19300.0,19450.0,19000.0,44814.0,-25442.0,4795.0
