,close,diff,open,high,low,volume,agency,foreign
2020.01.15,29300.0,0.0,29300.0,29300.0,29300.0,26580.0,,
2020.01.14,29300.0,-100.0,29500.0,29500.0,29100.0,342977.0,-186897.0,157523.0
2020.01.13,29400.0,400.0,29000.0,29450.0,28800.0,357258.0,-109338.0,121901.0
2020.01.10,28900.0,-100.0,28550.0,28950.0,28500.0,72974.0,-156810.0,117920.0
2020.01.09,29000.0,500.0,28400.0,29050.0,28400.0,415277.0,-82186.0,16151.0
2020.01.08,28500.0,-650.0,28600.0,28650.0,28050.0,330905.0,-106089.0,38535.0
2020.01.07,29150.0,200.0,28750.0,29200.0,28700.0,211623.0,-57960.0,11984.0
2020.01.06,28950.0,-200.0,29050.0,29250.0,28900.0,158775.0,-63319.0,32564.0
2020.01.03,29150.0,-100.0,29500.0,29500.0,29050.0,937597.0,569917.0,5556.0
2020.01.02,29250.0,-350.0,29600.0,29750.0,29200.0,225430.0,-124315.0,19818.0
2019.12.30,29600.0,-50.0,29800.0,29800.0,29450.0,160145.0,7543.0,-52618.0
2019.12.27,29650.0,-950.0,29750.0,29800.0,29500.0,318395.0,-127610.0,2117.0
2019.12.26,30600.0,300.0,30500.0,30650.0,30200.0,176187.0,83032.0,-17181.0
2019.12.24,30300.0,350.0,29900.0,30300.0,29900.0,216787.0,41400.0,-693.0
2019.12.23,29950.0,50.0,29900.0,30100.0,29700.0,254298.0,2436.0,29558.0
2019.12.20,29900.0,-100.0,30150.0,30150.0,29750.0,447048.0,39684.0,-61672.0
2019.12.19,30000.0,100.0,29900.0,30200.0,29800.0,225039.0,10348.0,-24486.0
2019.12.18,29900.0,-200.0,29850.0,30200.0,29800.0,766954.0,482704.0,-17865.0
2019.12.17,30100.0,-150.0,30000.0,30250.0,29900.0,470182.0,-16225.0,-12061.0
2019.12.16,30250.0,-400.0,30600.0,30700.0,30000.0,542637.0,31444.0,-52435.0
2019.12.13,30650.0,650.0,30350.0,30700.0,30150.0,313180.0,72564.0,68409.0
2019.12.12,30000.0,450.0,29800.0,30000.0,29500.0,518244.0,69734.0,-20230.0
2019.12.11,29550.0,400.0,29400.0,29750.0,29150.0,254625.0,32279.0,8730.0
2019.12.10,29150.0,-250.0,29100.0,29400.0,29050.0,198439.0,-16243.0,-36241.0
2019.12.09,29400.0,50.0,29100.0,29500.0,29100.0,140697.0,-7360.0,6280.0
2019.12.06,29350.0,100.0,29350.0,29550.0,28900.0,229446.0,8575.0,-44270.0
2019.12.05,29250.0,-300.0,29300.0,29550.0,29000.0,215255.0,-25607.0,-36191.0
2019.12.04,29550.0,-600.0,29400.0,30000.0,29350.0,208408.0,18666.0,-62007.0
2019.12.03,30150.0,200.0,30100.0,30200.0,29600.0,205944.0,-7236.0,32634.0
2019.12.02,29950.0,600.0,29550.0,29950.0,29500.0,239407.0,-9801.0,39050.0
2019.11.29,29350.0,-800.0,30250.0,30250.0,29200.0,371663.0,-91748.0,-36999.0
2019.11.28,30150.0,-50.0,29900.0,30200.0,29600.0,205991.0,56055.0,-64000.0
2019.11.27,30200.0,300.0,30350.0,30650.0,30150.0,134895.0,13552.0,6621.0
2019.11.26,29900.0,-100.0,29900.0,30400.0,29800.0,579019.0,63840.0,-61606.0
2019.11.25,30000.0,500.0,29250.0,30050.0,29250.0,203436.0,23421.0,-12503.0
2019.11.22,29500.0,-850.0,30450.0,30500.0,29400.0,420237.0,-72718.0,-62365.0
2019.11.21,30350.0,-400.0,30750.0,31250.0,29900.0,350538.0,-18070.0,-23425.0
2019.11.20,30750.0,-700.0,30900.0,31150.0,30600.0,293612.0,-44794.0,26748.0
2019.11.19,31450.0,0.0,31250.0,31500.0,30850.0,277525.0,-31453.0,26771.0
2019.11.18,31450.0,-50.0,31300.0,31900.0,31300.0,167058.0,-26997.0,31344.0
2019.11.15,31500.0,550.0,30550.0,31850.0,30500.0,351116.0,78753.0,1171.0
2019.11.14,30950.0,-450.0,31100.0,31150.0,30700.0,273233.0,9951.0,-28480.0
2019.11.13,31400.0,100.0,31050.0,31500.0,31050.0,241157.0,-19259.0,72446.0
2019.11.12,31300.0,300.0,31000.0,31300.0,30650.0,264174.0,537.0,36447.0
2019.11.11,31000.0,550.0,30500.0,31050.0,30450.0,358434.0,4615.0,63589.0
2019.11.08,30450.0,100.0,30350.0,30550.0,30150.0,236446.0,1879.0,-16099.0
2019.11.07,30350.0,150.0,30050.0,30600.0,30050.0,235538.0,-22750.0,10053.0
2019.11.06,30200.0,-150.0,30600.0,30700.0,30150.0,370376.0,-58747.0,21363.0
2019.11.05,30350.0,-900.0,31000.0,31400.0,30250.0,469702.0,-107113.0,-15543.0
2019.11.04,31250.0,-700.0,31600.0,32000.0,31150.0,522549.0,130974.0,-120881.0
2019.11.01,31950.0,600.0,31250.0,32100.0,31250.0,219988.0,-34475.0,71201.0
2019.10.31,31350.0,-300.0,31600.0,31900.0,31250.0,218293.0,-11269.0,33158.0
2019.10.30,31650.0,0.0,31650.0,31900.0,31450.0,254850.0,1810.0,9129.0
2019.10.29,31650.0,300.0,31400.0,31800.0,31350.0,328929.0,-15222.0,53353.0
2019.10.28,31350.0,200.0,31700.0,32000.0,31200.0,241792.0,-10045.0,43519.0
2019.10.25,31150.0,100.0,30950.0,31250.0,30750.0,154503.0,-20561.0,25371.0
2019.10.24,31050.0,150.0,30650.0,31150.0,30600.0,167867.0,-26426.0,41733.0
2019.10.23,30900.0,-100.0,30850.0,31250.0,30600.0,148612.0,-42562.0,42061.0
2019.10.22,31000.0,200.0,30400.0,31300.0,30400.0,250167.0,67370.0,-38895.0
2019.10.21,30800.0,-150.0,31250.0,31250.0,30400.0,211186.0,24829.0,-24199.0
2019.10.18,30950.0,200.0,31250.0,31250.0,30550.0,305081.0,-64346.0,79664.0
2019.10.17,30750.0,350.0,30550.0,31200.0,30250.0,314134.0,-11699.0,65635.0
2019.10.16,30400.0,200.0,30250.0,30500.0,29900.0,280872.0,-16285.0,43011.0
2019.10.15,30200.0,0.0,30300.0,30400.0,29950.0,193216.0,-42400.0,54844.0
2019.10.14,30200.0,450.0,30000.0,30350.0,29800.0,277537.0,9206.0,41675.0
2019.10.11,29750.0,600.0,29450.0,29850.0,29350.0,231783.0,-21913.0,68992.0
2019.10.10,29150.0,-150.0,28850.0,29450.0,28800.0,530648.0,-24256.0,21429.0
2019.10.08,29300.0,300.0,29100.0,29600.0,28950.0,201828.0,22447.0,-30050.0
2019.10.07,29000.0,-200.0,29150.0,29300.0,28800.0,132283.0,8951.0,-28512.0
2019.10.04,29200.0,-500.0,29550.0,29650.0,29200.0,295556.0,13391.0,-38213.0
2019.10.02,29700.0,-400.0,30100.0,30100.0,29600.0,254834.0,-51255.0,51397.0
2019.10.01,30100.0,550.0,29300.0,30200.0,29300.0,224831.0,11146.0,68434.0
2019.09.30,29550.0,50.0,29300.0,29800.0,29300.0,274424.0,62522.0,-63276.0
2019.09.27,29500.0,-200.0,30200.0,30200.0,29450.0,134566.0,-19651.0,9827.0
2019.09.26,29700.0,-500.0,29950.0,30250.0,29450.0,192820.0,-3298.0,-2909.0
2019.09.25,30200.0,900.0,29600.0,30400.0,29400.0,350331.0,95547.0,28693.0
2019.09.24,29300.0,-50.0,29500.0,29600.0,29150.0,209282.0,54121.0,-59227.0
2019.09.23,29350.0,100.0,29300.0,29500.0,29100.0,131864.0,6443.0,-7607.0
2019.09.20,29250.0,-300.0,29550.0,29600.0,29050.0,358674.0,-16548.0,-31214.0
2019.09.19,29550.0,100.0,29400.0,29800.0,29250.0,226976.0,-32623.0,32124.0
2019.09.18,29450.0,-400.0,29650.0,29850.0,29400.0,241091.0,7678.0,-20650.0
2019.09.17,29850.0,-250.0,29300.0,30100.0,29300.0,189844.0,-24180.0,23760.0
2019.09.16,30100.0,500.0,29750.0,30300.0,29450.0,235950.0,-7116.0,35580.0
2019.09.11,29600.0,450.0,29400.0,29900.0,29350.0,555829.0,138922.0,-73195.0
2019.09.10,29150.0,0.0,29200.0,29450.0,29100.0,420497.0,-7397.0,25836.0
2019.09.09,29150.0,50.0,28950.0,29300.0,28950.0,207036.0,24806.0,15846.0
2019.09.06,29100.0,150.0,28750.0,29200.0,28700.0,279191.0,-21426.0,41992.0
2019.09.05,28950.0,150.0,28550.0,29350.0,28550.0,571663.0,-45121.0,84083.0
2019.09.04,28800.0,500.0,28100.0,28800.0,28100.0,458075.0,68232.0,7935.0
2019.09.03,28300.0,-100.0,28200.0,28350.0,28050.0,299058.0,-50549.0,2615.0
2019.09.02,28400.0,150.0,28000.0,28400.0,27950.0,291924.0,4292.0,-19343.0
2019.08.30,28250.0,-50.0,28300.0,28450.0,28200.0,348068.0,-19048.0,3860.0
2019.08.29,28300.0,450.0,27900.0,28350.0,27850.0,232436.0,-33177.0,50734.0
2019.08.28,27850.0,0.0,28000.0,28000.0,27700.0,172864.0,-49060.0,25329.0
2019.08.27,27850.0,-250.0,28000.0,28150.0,27850.0,385761.0,-13217.0,-25535.0
2019.08.26,28100.0,-100.0,27900.0,28200.0,27650.0,181548.0,-1406.0,5030.0
2019.08.23,28200.0,-200.0,28400.0,28600.0,28200.0,208894.0,-55988.0,40063.0
2019.08.22,28400.0,150.0,28250.0,28500.0,28150.0,332308.0,-46735.0,58029.0
2019.08.21,28250.0,-300.0,28550.0,28850.0,28150.0,487234.0,21082.0,-129201.0
2019.08.20,28550.0,100.0,28300.0,28750.0,28050.0,337834.0,-47113.0,49539.0
2019.08.19,28450.0,100.0,28400.0,28600.0,28250.0,255709.0,12939.0,10551.0
2019.08.16,28350.0,-600.0,28600.0,28850.0,28150.0,335508.0,-93427.0,-1092.0
2019.08.14,28950.0,-600.0,29550.0,29600.0,28800.0,296026.0,-106000.0,-19588.0
2019.08.13,29550.0,-300.0,29400.0,29900.0,29400.0,196955.0,1988.0,-15714.0
2019.08.12,29850.0,100.0,29450.0,30350.0,29400.0,166580.0,9670.0,-1935.0
2019.08.09,29750.0,100.0,29500.0,30300.0,29450.0,468338.0,-131972.0,126381.0
2019.08.08,29650.0,650.0,29000.0,30000.0,29000.0,448959.0,-9304.0,40495.0
2019.08.07,29000.0,-900.0,29800.0,29800.0,28950.0,431524.0,-33974.0,-25034.0
2019.08.06,29900.0,-1050.0,30900.0,30950.0,29650.0,710348.0,129071.0,-172088.0
2019.08.05,30950.0,550.0,30300.0,31100.0,30300.0,608970.0,125101.0,39168.0
2019.08.02,30400.0,0.0,30400.0,30750.0,29900.0,420984.0,-24993.0,29797.0
2019.08.01,30400.0,-350.0,30750.0,30750.0,30300.0,242951.0,-24801.0,23908.0
2019.07.31,30750.0,250.0,30750.0,31000.0,30300.0,365447.0,35263.0,-11519.0
2019.07.30,30500.0,-100.0,30900.0,30900.0,30000.0,149963.0,-7996.0,7149.0
2019.07.29,30600.0,0.0,30800.0,30800.0,30300.0,209675.0,11479.0,4789.0
2019.07.26,30600.0,-250.0,30600.0,30900.0,30300.0,267913.0,24379.0,-18528.0
2019.07.25,30850.0,-150.0,31000.0,31000.0,30400.0,235491.0,4604.0,-843.0
2019.07.24,31000.0,450.0,30500.0,31100.0,30400.0,264476.0,22368.0,33853.0
2019.07.23,30550.0,-500.0,30750.0,31000.0,30300.0,322615.0,26157.0,-39515.0
2019.07.22,31050.0,250.0,30550.0,31150.0,30500.0,252952.0,-17034.0,76309.0
2019.07.19,30800.0,150.0,30350.0,30900.0,30250.0,228282.0,35326.0,-9192.0
2019.07.18,30650.0,400.0,29900.0,30700.0,29850.0,295029.0,52708.0,-5811.0
2019.07.17,30250.0,50.0,30500.0,30500.0,29750.0,255063.0,-20299.0,34255.0
2019.07.16,30200.0,550.0,29900.0,30350.0,29550.0,333771.0,17768.0,-8586.0
2019.07.15,29650.0,-350.0,29950.0,30150.0,29600.0,205670.0,-25068.0,19252.0
2019.07.12,30000.0,350.0,29650.0,30150.0,29650.0,266636.0,-19638.0,39807.0
2019.07.11,29650.0,-50.0,29700.0,29950.0,29550.0,651896.0,17673.0,-47134.0
2019.07.10,29700.0,-950.0,30450.0,30500.0,29250.0,714097.0,-55764.0,-114309.0
2019.07.09,30650.0,0.0,30350.0,30800.0,30350.0,276172.0,26450.0,-1843.0
2019.07.08,30650.0,-200.0,30700.0,30950.0,30500.0,291852.0,58257.0,-18376.0
2019.07.05,30850.0,-100.0,30950.0,31000.0,30600.0,242731.0,68457.0,-42388.0
2019.07.04,30950.0,800.0,30400.0,30950.0,30150.0,247390.0,59940.0,24005.0
2019.07.03,30150.0,-450.0,30600.0,30650.0,30150.0,209506.0,28499.0,-57692.0
2019.07.02,30600.0,300.0,30150.0,30650.0,30100.0,183205.0,-15209.0,20140.0
2019.07.01,30300.0,50.0,30600.0,30750.0,30150.0,144385.0,-14477.0,9039.0
2019.06.28,30250.0,-450.0,30450.0,30700.0,30200.0,231966.0,8621.0,-66973.0
2019.06.27,30700.0,100.0,30450.0,30800.0,30100.0,271366.0,44946.0,-59177.0
2019.06.26,30600.0,0.0,30400.0,30750.0,30350.0,216845.0,25058.0,-37271.0
2019.06.25,30600.0,-300.0,31000.0,31150.0,30600.0,289581.0,36253.0,-59754.0
2019.06.24,30900.0,-400.0,31350.0,31400.0,30600.0,163633.0,29112.0,-46458.0
2019.06.21,31300.0,100.0,30950.0,31300.0,30950.0,209767.0,-18198.0,33145.0
2019.06.20,31200.0,50.0,31400.0,31400.0,31050.0,161726.0,-12131.0,19032.0
2019.06.19,31150.0,350.0,30650.0,31250.0,30650.0,158982.0,17372.0,38590.0
2019.06.18,30800.0,150.0,30600.0,30900.0,30550.0,240554.0,40734.0,6181.0
2019.06.17,30650.0,50.0,30700.0,30800.0,30450.0,144932.0,-9304.0,36249.0
2019.06.14,30600.0,-250.0,30700.0,30850.0,30350.0,228052.0,-26262.0,-3613.0
2019.06.13,30850.0,350.0,30650.0,30850.0,30250.0,435941.0,-18496.0,48859.0
2019.06.12,30500.0,-150.0,30650.0,30800.0,30450.0,295775.0,3909.0,3663.0
2019.06.11,30650.0,-850.0,30900.0,31000.0,29950.0,986812.0,-173892.0,-142538.0
2019.06.10,31500.0,650.0,31100.0,31500.0,31000.0,202817.0,16255.0,24286.0
2019.06.07,30850.0,-450.0,31200.0,31450.0,30700.0,305431.0,-20580.0,10365.0
2019.06.05,31300.0,-650.0,31550.0,31800.0,31150.0,231916.0,-27439.0,-36581.0
2019.06.04,31950.0,150.0,31350.0,31950.0,31200.0,296365.0,144.0,19662.0
2019.06.03,31800.0,750.0,31000.0,31850.0,30450.0,378940.0,46302.0,29741.0
2019.05.31,31050.0,-50.0,30650.0,31200.0,30500.0,333723.0,5040.0,-30701.0
2019.05.30,31100.0,400.0,30800.0,31100.0,30450.0,269210.0,-12599.0,3725.0
2019.05.29,30700.0,-550.0,31500.0,31500.0,30450.0,270072.0,-29280.0,-2170.0
2019.05.28,31250.0,350.0,31150.0,31300.0,30850.0,619718.0,174594.0,-33001.0
2019.05.27,30900.0,-250.0,30900.0,31000.0,30600.0,128328.0,16153.0,-26541.0
2019.05.24,31150.0,500.0,30450.0,31200.0,30300.0,245246.0,78740.0,-53513.0
2019.05.23,30650.0,-50.0,30800.0,30950.0,30300.0,169745.0,14423.0,-16029.0
2019.05.22,30700.0,-50.0,30650.0,30850.0,30100.0,303057.0,-53193.0,33486.0
2019.05.21,30750.0,-250.0,30700.0,31200.0,30650.0,311322.0,-52316.0,37062.0
2019.05.20,31000.0,-50.0,31450.0,31550.0,30550.0,257061.0,-38770.0,37038.0
2019.05.17,31050.0,100.0,31450.0,31650.0,31000.0,199230.0,-32789.0,41498.0
2019.05.16,30950.0,-600.0,31200.0,31550.0,30800.0,374015.0,-19268.0,-24761.0
2019.05.15,31550.0,-150.0,31400.0,31650.0,30800.0,401837.0,-25143.0,-19517.0
2019.05.14,31700.0,-800.0,32950.0,33000.0,31250.0,332164.0,-2064.0,-46946.0
2019.05.13,32500.0,150.0,32000.0,33350.0,32000.0,299942.0,4084.0,4555.0
2019.05.10,32350.0,-100.0,32950.0,33300.0,32150.0,274665.0,-37267.0,43664.0
2019.05.09,32450.0,-700.0,32750.0,33350.0,32450.0,563079.0,10393.0,-3690.0
