stock_name,acc_test,acc_eval,expected_value,buy_percent,pred_sell,pred_hold,pred_buy
004990,롯데지주 ,0.6454,0.3596,2.5253,0.02,0.0806,0.6952,0.2242
005387,현대차2우B ,0.5671,0.3778,3.3375,0.01,0.3842,0.071,0.5448
028260,삼성물산 ,0.5481,0.2626,2.6515,0.065,0.3456,0.6478,0.0066
036460,한국가스공사 ,0.6443,0.3826,2.8415,0.1,0.0667,0.0322,0.9011
086790,하나금융지주 ,0.592,0.5364,3.2061,0.03,0.8467,0.0414,0.1119
032830,삼성생명 ,0.633,0.2514,1.9512,0.19,0.0082,0.009,0.9827
095700,제넥신 ,0.6197,0.4818,4.6272,0.03,0.8768,0.1082,0.0149
214370,케어젠 ,0.5125,0.3014,3.25,0.15,0.2065,0.7206,0.0729
086520,에코프로 ,0.6215,0.3438,4.9305,0.065,0.1464,0.7812,0.0724
105560,KB금융 ,0.593,0.3934,2.7829,0.025,0.771,0.1082,0.1208
028670,팬오션 ,0.5929,0.4188,4.2199,0.005,0.1581,0.8111,0.0307
030190,NICE평가정보 ,0.6287,0.3838,2.8169,0.145,0.1665,0.2187,0.6148
012750,에스원 ,0.6171,0.4727,2.8099,0.0,0.3766,0.4107,0.2127
002790,아모레G ,0.5617,0.434,3.8462,0.125,0.3642,0.3377,0.2981
215200,메가스터디교육 ,0.6774,0.3936,2.416,0.17,0.0318,0.0298,0.9384
048260,오스템임플란트 ,0.6273,0.5942,4.2254,0.04,0.5729,0.2477,0.1794
030000,제일기획 ,0.5925,0.4528,3.154,0.06,0.9424,0.0037,0.0538
021240,웅진코웨이 ,0.5843,0.4783,3.4118,0.11,0.7314,0.2139,0.0547
018880,한온시스템 ,0.5503,0.4132,3.929,0.02,0.5095,0.3914,0.0991
035900,JYP Ent. ,0.6084,0.4198,4.6332,0.09,0.0161,0.0085,0.9754
081660,휠라코리아 ,0.6169,0.4272,3.1915,0.215,0.0112,0.0128,0.976
085660,차바이오텍 ,0.6335,0.3333,4.3636,0.035,0.0109,0.9854,0.0037
011170,롯데케미칼 ,0.6271,0.5615,4.4041,0.06,0.5258,0.2927,0.1815
035420,NAVER ,0.6026,0.25,3.7725,0.17,0.198,0.091,0.7111
009540,한국조선해양 ,0.5882,0.3661,4.0153,0.065,0.0948,0.7319,0.1733
042660,대우조선해양 ,0.5972,0.1939,4.5,0.13,0.0194,0.0014,0.9791
051910,LG화학 ,0.6034,0.4733,3.5533,0.01,0.125,0.7109,0.1642
145020,휴젤 ,0.6154,0.4667,4.418,0.04,0.0609,0.0385,0.9006
000100,유한양행 ,0.5714,0.4609,2.8226,0.08,0.0052,0.9511,0.0436
007070,GS리테일 ,0.642,0.431,3.3074,0.115,0.822,0.0743,0.1037
009830,한화케미칼 ,0.5957,0.4742,4.0724,0.02,0.1307,0.8451,0.0242
056190,에스에프에이 ,0.5702,0.405,3.8596,0.12,0.2386,0.5801,0.1813
066970,엘앤에프 ,0.5946,0.4521,4.75,0.125,0.1873,0.214,0.5986
